Symbol,Our_Beta,Yahoo_Beta
A,1.0332250811255297,1.262
AAPL,1.1672716723112222,1.094
ABBV,0.5539300718893523,0.507
ABNB,0.6932221700410175,1.109
ABT,0.7155741070122893,0.696
ACGL,0.6432552343013525,0.451
ACN,1.2174760984168675,1.278
ADBE,1.3032434390426666,1.49
ADI,0.9917727224376222,1.089
ADM,0.7028972057478701,0.685
ADP,0.8048631102376114,0.825
ADSK,1.3939431608203268,1.491
AEE,0.5064926473060152,0.494
AEP,0.5573177432763511,0.464
AES,1.027061254368536,0.924
AFL,0.9637615562489004,0.849
AIG,1.1749710289087285,0.686
AIZ,0.6049376478002404,0.549
AJG,0.7614136744186017,0.73
AKAM,0.6437996049993199,0.756
ALB,1.6032041332625986,1.657
ALGN,1.7263497834503096,1.704
ALL,0.5009022539407367,0.377
ALLE,1.1078291667626283,1.078
AMAT,1.4839066088435309,1.814
AMCR,0.8589282484652749,0.719
AMD,1.6296625307848536,1.894
AME,1.129900193731338,1.109
AMGN,0.5042308245024917,0.48
AMP,1.3415037964219465,1.257
AMT,0.8566298607776699,0.866
AMZN,1.1032573847804572,1.281
ANET,1.0347096247240648,1.475
AON,0.936751059344062,0.887
AOS,1.1420215750523954,1.303
APA,3.217734910590847,1.165
APD,0.8334814972812252,0.839
APH,1.2016767944432798,1.18
APO,1.5493706012100077,1.668
APTV,1.7433770605853212,1.549
ARE,1.1635396463432814,1.319
ATO,0.691421390327352,0.729
AVB,1.029895330461184,0.865
AVGO,1.0638699391681663,1.208
AVY,0.8874996504003888,0.953
AWK,0.7079151399693063,0.697
AXON,0.9451721390731216,1.415
AXP,1.227803700639592,1.294
AZO,0.6842203806643805,0.398
BA,1.5965484361958855,1.47
BAC,1.3495633257038124,1.334
BALL,0.9258304034487274,1.089
BAX,0.6081965956853767,0.577
BBY,1.4230490636400992,1.243
BDX,0.4039710749051442,0.28
BEN,1.4634000901789932,1.526
BF-B,0.7359250354479467,0.526
BG,0.7088101768900194,0.646
BIIB,-0.0437302981622404,0.125
BK,1.056399083797476,1.127
BKNG,1.3711137791850432,1.351
BKR,1.387502190687326,0.98
BLDR,2.102755558259431,1.625
BLK,1.278169746023985,1.462
BMY,0.4694062570493588,0.344
BR,1.0654926357490295,0.952
BRK-B,0.8673552428947675,0.77
BRO,0.8587147273525196,0.793
BSX,0.7709019431472361,0.614
BX,1.520408766215563,1.765
BXP,1.2250196993400857,1.235
C,1.4298920928061711,1.357
CAG,0.2654888430390882,0.037
CAH,0.6136393849842533,0.718
CARR,1.0040577867332785,1.254
CAT,1.074646737936128,1.465
CB,0.7001686325301272,0.546
CBOE,0.666303684877428,0.439
CBRE,1.41550592224342,1.363
CCI,0.8794682339425245,0.963
CCL,2.802590812038597,2.686
CDNS,0.9819751852512028,0.988
CDW,0.991338274037366,1.003
CF,0.9784758832991592,0.918
CFG,1.401669669061163,1.143
CHD,0.5664946571209366,0.425
CHRW,0.8242696802413976,0.905
CHTR,1.126130231390852,1.051
CI,0.4887486726081843,0.462
CINF,0.7359635267823148,0.73
CL,0.4313251352422283,0.335
CLX,0.3925718100224415,0.515
CMCSA,1.033491733209743,0.941
