Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
A,1.0332250811255295,-0.0016527868112409588,-0.01965413885422629,0.7198497813130678,0.5181837076564715,59
AAPL,1.1672716723112222,0.008886964950284149,0.11201368171220194,0.7638071841444258,0.5834014145506369,59
ABBV,0.5539300718893523,0.010397179976003715,0.13215399966109054,0.4215036235779239,0.17766530468932018,59
ABNB,0.6932221700410175,-0.010422059768788482,-0.11813914575249751,0.4362324043648062,0.1902987106178998,48
ABT,0.7155741070122893,-0.0019670027736257145,-0.023350339619159777,0.6370219320729877,0.4057969419420022,59
ACGL,0.6432552343013525,0.00608088346965394,0.07546124438931523,0.38447953290123954,0.14782451121995535,59
ACN,1.2174760984168675,-0.00157210555340178,-0.018702998383713365,0.835295003066209,0.697717742147378,59
ADBE,1.3032434390426666,-0.008648523448546821,-0.09898526509625383,0.6627256851639908,0.439205333776081,59
ADI,0.9917727224376222,0.0025579940325295286,0.03113149199768861,0.6764050542400435,0.4575237974014762,59
ADM,0.7028972057478701,-0.0034339588884157277,-0.04043806991484533,0.457691612043547,0.20948161173502075,59
ADP,0.8048631102376114,0.002187303598666342,0.026565720394438275,0.6365100566442687,0.4051450522092902,59
ADSK,1.3939431608203268,-0.006500773961686786,-0.07527968762483483,0.7446059476290856,0.5544380172446086,59
AEE,0.5064926473060152,-0.002457387714048534,-0.02909334150289533,0.4701466528688827,0.22103787520381368,59
AEP,0.5573177432763511,-0.005580461597490091,-0.0649479535021571,0.4759823913908425,0.22655923691414515,59
AES,1.027061254368536,-0.015071280127743683,-0.16659209307338396,0.4756262881744857,0.22622036600263892,59
AFL,0.9637615562489005,0.003978007953927323,0.048794489354895276,0.67127669809936,0.45061240541117925,59
AIG,1.1749710289087283,-0.0031358927378129396,-0.036988417208463464,0.573459279023432,0.3288555446980744,59
AIZ,0.6049376478002404,0.0028488499427321203,0.03472697114729906,0.4997167187742776,0.24971679902253044,59
AJG,0.7614136744186017,0.010020046676307823,0.12709344473875883,0.6086762363173958,0.3704867606575102,59
AKAM,0.6437996049993199,-0.006868876994946873,-0.07938275535948935,0.4547787947676143,0.20682375217028384,59
ALB,1.6032041332625986,-0.013038781446970852,-0.1457183945698134,0.5700545967935321,0.32496224332543644,59
ALGN,1.7263497834503096,-0.019647320907805924,-0.2118877461887675,0.604252870221994,0.36512153117151797,59
ALL,0.5009022539407367,0.004245011707069946,0.05214645957135655,0.38595546593201946,0.14896162168280222,59
ALLE,1.1078291667626283,-0.009763344591699058,-0.11106914299587867,0.7404143156541095,0.5482133588255433,59
AMAT,1.4839066088435307,0.004147331017653886,0.050919036860888944,0.7256020491817704,0.5264983337767843,59
