Date,RFm
2020-01-31,0.0012497077108970522
2020-02-29,0.0010192665837294168
2020-03-31,2.4996562600021477e-05
2020-04-30,7.496908325510532e-05
2020-05-31,0.00010660414507634997
2020-06-30,0.00011243045506881266
2020-07-31,6.914036582772454e-05
2020-08-31,7.913221609512355e-05
2020-09-30,7.080575356832597e-05
2020-10-31,6.914036582772454e-05
2020-11-30,6.247852839580403e-05
2020-12-31,5.4150534226415914e-05
2021-01-31,3.999120304531978e-05
2021-02-28,2.9161989017367773e-05
2021-03-31,1.0832688124295942e-05
2021-04-30,2.4999656473845278e-06
2021-05-31,6.666422551315776e-06
2021-06-30,3.332722303861502e-05
2021-07-31,3.332722303861502e-05
2021-08-31,3.332722303861502e-05
2021-09-30,2.333034014445623e-05
2021-10-31,3.999120304531978e-05
2021-11-30,3.999120304531978e-05
2021-12-31,2.7495841352642714e-05
2022-01-31,0.00014405247484949868
2022-02-28,0.00023968377138627872
2022-03-31,0.00040990793522888147
2022-04-30,0.0006708525758674089
2022-05-31,0.0008543077271732091
2022-06-30,0.0013236543740895446
2022-07-31,0.0018951215929736698
2022-08-31,0.0023526509284592656
2022-09-30,0.0026121432562891123
2022-10-31,0.0032536398598879135
2022-11-30,0.003476901211005634
2022-12-31,0.003482516213296316
2023-01-31,0.0037308188484965754
2023-02-28,0.003842734332838882
2023-03-31,0.0037428162652932695
2023-04-30,0.004012742952280712
2023-05-31,0.004271537569666695
2023-06-30,0.004195965621348385
2023-07-31,0.004271537569666695
2023-08-31,0.004311286828115657
2023-09-30,0.004312876711426439
2023-10-31,0.004328771369539242
2023-11-30,0.004263585413325277
2023-12-31,0.0042174502286933535
2024-01-31,0.004223815376500406
2024-02-29,0.004251656259184777
2024-03-31,0.004235748168819775
2024-04-30,0.004269151843822261
2024-05-31,0.004269151843822261
2024-06-30,0.004243702370860136
2024-07-31,0.004181639993270814
2024-08-31,0.004048619874109205
2024-09-30,0.003673208745146761
2024-10-31,0.0036203675425157122
2024-11-30,0.00357310476606143
2024-12-31,0.003419933442133649
