Symbol,Our_Beta,Yahoo_Beta
A,1.0332252766079812,1.262
AAPL,1.1672712762062905,1.094
ABBV,0.5539302537857306,0.507
ABNB,0.6932221700410175,1.109
ABT,0.715574569053391,0.696
ACGL,0.6432552343013525,0.451
ACN,1.217476464108577,1.278
ADBE,1.3032434390426666,1.49
ADI,0.991773277064363,1.089
ADM,0.7028968686114708,0.685
ADP,0.8048636517823275,0.825
ADSK,1.3939431608203268,1.491
AEE,0.5064940505825043,0.494
AEP,0.5573173056657995,0.464
AES,1.0270612457389665,0.924
AFL,0.9637627924812056,0.849
AIG,1.17497100909773,0.686
AIZ,0.6049372408627408,0.549
AJG,0.7614141184942775,0.73
AKAM,0.6437996049993199,0.756
ALB,1.6032034811300608,1.657
ALGN,1.7263497834503096,1.704
ALL,0.5009033647840142,0.377
ALLE,1.1078282060736222,1.078
AMAT,1.4839059006456,1.814
AMCR,0.8589280989484482,0.719
AMD,1.6296625307848536,1.894
AME,1.1298993367140937,1.109
AMGN,0.5042313890514478,0.48
AMP,1.3415046125312309,1.257
AMT,0.8566303038055973,0.866
AMZN,1.1032573847804572,1.281
ANET,1.0347096247240648,1.475
AON,0.9367509600426231,0.887
AOS,1.14202113734764,1.303
APA,3.2177348886726533,1.165
APD,0.8334815546230427,0.839
APH,1.2016769294868108,1.18
APO,1.5493704903130907,1.668
APTV,1.7433770605853212,1.549
ARE,1.163539411404929,1.319
ATO,0.69142116178438,0.729
AVB,1.029895132293969,0.865
AVGO,1.0638704869028084,1.208
AVY,0.8874990150121264,0.953
AWK,0.7079152724434427,0.697
AXON,0.9451721390731216,1.415
AXP,1.2278030329060428,1.294
AZO,0.6842203806643805,0.398
BA,1.5965484361958855,1.47
BAC,1.3495631207165089,1.334
BALL,0.925830495446552,1.089
BAX,0.6081958786091342,0.577
BBY,1.4230494626302226,1.243
BDX,0.4039715663710452,0.28
BEN,1.4634000976436952,1.526
BF-B,0.7359261529485492,0.526
BG,0.7088114791509202,0.646
BIIB,-0.0437302981622404,0.125
BK,1.0563986281718756,1.127
BKNG,1.3711138767797932,1.351
BKR,1.3875029577079094,0.98
BLDR,2.102755558259431,1.625
BLK,1.2781703276739402,1.462
BMY,0.4694062883893146,0.344
BR,1.0654927771959002,0.952
BRK-B,0.8673552428947675,0.77
BRO,0.8587150800744155,0.793
BSX,0.7709019431472361,0.614
BX,1.520409355422842,1.765
BXP,1.2250196198788643,1.235
C,1.4298920143878897,1.357
CAG,0.2654886297496804,0.037
CAH,0.6136391363106407,0.718
CARR,1.0040578836637557,1.254
CAT,1.0746462522694653,1.465
CB,0.700168482343539,0.546
CBOE,0.6663031600555497,0.439
CBRE,1.41550592224342,1.363
CCI,0.879467880312011,0.963
CCL,2.802590812038597,2.686
CDNS,0.9819751852512028,0.988
CDW,0.991337997318968,1.003
CF,0.9784757929457152,0.918
CFG,1.4016692387792244,1.143
CHD,0.5664947383756777,0.425
CHRW,0.8242700837173876,0.905
CHTR,1.126130231390852,1.051
CI,0.4887487521925663,0.462
CINF,0.735963821779443,0.73
CL,0.4313251670664182,0.335
CLX,0.3925721285809589,0.515
CMCSA,1.033491252036844,0.941
CME,0.5822492520346804,0.427
CMG,1.2163988409907815,0.994
CMI,0.9323783608017112,1.038
CMS,0.4170883746122981,0.399
CNC,0.4495866207936369,0.476
CNP,0.9850484473482044,0.556
COF,1.5108483771255568,1.182
COO,1.0046436253418722,1.023
COP,1.231491422803827,0.635
COR,0.4674307500111918,0.629
COST,0.8011485430346322,0.964
CPAY,1.2770368288567215,0.971
CPB,0.1812546441463817,0.023
CPRT,1.3098590791091738,1.034
CPT,0.9968602557099138,0.808
CRL,1.364482672174112,1.503
CRM,1.247924041143461,1.195
CRWD,1.0503826800951497,1.188
CSCO,0.8162156285201352,0.966
CSGP,0.816741803938039,0.874
CSX,1.2033185111848674,1.286
CTAS,1.3781812650166996,1.002
CTRA,0.2016477298029557,0.27
CTSH,1.0449910643020528,0.945
CTVA,0.7734277713692709,0.765
CVS,0.5939866796003517,0.609
CVX,1.057925660475358,0.813
D,0.6048138839762952,0.609
DAL,1.391460326226623,1.503
DASH,1.052029515464706,1.706
DAY,1.295256361628588,1.175
DD,1.2875442202932106,1.07
DDOG,1.1036639953817424,1.214
DE,0.9652948120307178,1.031
DECK,1.0606025291731238,1.054
DELL,0.8917210624281933,1.126
DG,0.4407913210911959,0.308
DGX,0.8879684703685753,0.563
DHI,1.7415240363202549,1.397
DHR,0.8270437577259961,0.802
DIS,1.4083273277024562,1.542
DLR,0.670059758526167,0.974
DLTR,0.8653171563246865,0.858
DOC,1.133007135686272,1.066
DOV,1.2112691954702537,1.259
DOW,1.1667177061890557,0.857
DPZ,0.9057463870054796,1.121
DRI,1.3744655671770365,0.764
DTE,0.7189621772538062,0.422
DUK,0.4753573069108456,0.424
DVA,0.8520228079674218,1.124
DVN,2.0979892988656115,1.08
DXCM,1.0482900013187704,1.476
EA,0.7850254613428094,0.767
EBAY,1.2813914649418838,1.305
ECL,1.0946465744622988,1.096
ED,0.3710731646684829,0.309
EFX,1.526204537110418,1.675
EG,0.6450879707277778,0.472
EIX,0.953306275500716,0.805
EL,1.0109926296773983,1.157
ELV,0.7990360453317414,0.59
EME,1.0625814361212795,1.243
EMN,1.4694902628965727,1.298
EMR,1.302975543635514,1.279
EOG,1.369929340323254,0.76
EPAM,1.5534853049144528,1.655
EQIX,0.6893369643537224,0.907
EQR,0.9538674013156224,0.911
EQT,0.8476715694829682,0.499
ERIE,0.4461155999880829,0.297
ES,0.6426339323421788,0.678
ESS,0.9474828180904812,0.823
ETN,1.0036160688113769,1.172
ETR,0.7093174391627626,0.605
EVRG,0.6318941256390995,0.551
EW,1.0776674637526589,1.047
EXC,0.5456742361727626,0.486
EXPD,0.9635658299658066,1.076
EXPE,1.8455213567990427,1.563
EXR,0.9193239854004752,1.113
F,1.707814242152949,1.542
FANG,1.88842737243784,1.015
FAST,0.9959325246648284,0.94
FCX,1.850544272571504,1.582
FDS,0.7490400025986725,0.786
FDX,1.218716430529153,1.288
FE,0.488038699284573,0.498
FFIV,1.0084660313858105,1.063
FI,0.9023657913235784,0.95
FICO,1.3356498120300275,1.352
FIS,1.0296805289734892,1.06
FITB,1.3351898999395484,0.966
FOX,0.8360211723228599,0.543
FOXA,0.782511014741354,0.543
FRT,1.3229095055678777,1.163
FSLR,1.376911932604075,1.379
FTNT,0.9974930898042688,1.098
FTV,1.1294810414314205,1.128
GD,0.6277669994059448,0.484
GDDY,1.06284034072224,0.978
GE,1.1935611464947953,1.493
GEN,0.5944549718469414,0.934
GILD,0.1781470480765219,0.354
GIS,0.097553833775879,-0.025
GL,0.8189960535191156,0.552
GLW,0.992662694134708,1.131
GM,1.458424188715199,1.336
GNRC,1.360661947987347,1.644
GOOG,0.9959556509575956,1.0
GOOGL,0.9906412098590436,1.0
GPC,0.9519268659422068,0.772
GPN,0.9964007090130866,0.982
GRMN,0.982058890612202,0.988
GS,1.3361550538142295,1.415
GWW,1.10868429540515,1.165
HAL,2.0868704897663863,1.022
HAS,0.6760362336862464,0.597
HBAN,1.132310479250309,0.979
HCA,1.619389569406663,1.407
HD,1.02739671339691,1.001
HIG,0.9777320968260016,0.68
HII,0.5464599045442506,0.371
HLT,1.302374483605477,1.189
HOLX,0.952113756520761,0.627
HON,1.0090783363154567,1.049
HPE,1.2020592793032252,1.458
HPQ,1.0721285882063714,1.3
HRL,0.276325903400193,0.296
HSIC,0.9106910258042734,0.812
HST,1.3260302780744662,1.379
HSY,0.3696664042464371,0.249
HUBB,0.8793207394394289,0.959
HUM,0.5189867135762415,0.425
HWM,1.5422903957985237,1.454
IBKR,0.8372662437506148,1.217
IBM,0.6934431840389467,0.724
ICE,1.0881612847303794,1.085
IDXX,1.3458250020453475,1.578
IEX,0.9307705500462404,1.036
IFF,1.196359193497398,1.087
INCY,0.6432989324640742,0.737
INTC,1.0632110553155674,1.33
INTU,1.2150731029070612,1.253
INVH,1.0498060916158611,0.812
IP,0.9980471229327178,1.057
IPG,1.0933856335466856,1.079
IQV,1.4399234100704974,1.325
IR,1.3962763535864615,1.431
IRM,1.093417594546231,1.076
ISRG,1.3445257167144404,1.611
IT,1.2976491188345023,1.2
ITW,1.1025574283564816,1.113
IVZ,1.4750684937709808,1.629
J,0.72707820463723,0.8
JBHT,1.1319639516353088,1.243
JBL,1.2176153408543544,1.264
JCI,1.3544681322409162,1.344
JKHY,0.5821947955745421,0.779
JNJ,0.4788063985028122,0.392
JPM,1.1081136493456327,1.127
K,0.3535056026641253,0.247
KDP,0.6100498171229288,0.437
KEY,1.298530201507538,1.131
KEYS,0.9851680971938944,1.184
KHC,0.4184904359518848,0.127
KIM,1.572206935227651,1.318
KKR,1.5953467682078866,1.913
KLAC,1.1999939636709702,1.497
KMB,0.427335501795223,0.306
KMI,0.9747084402927396,0.788
KMX,1.7875743487880675,1.266
KO,0.6333673406961347,0.424
KR,0.45568347439215,0.566
L,0.83706863761344,0.725
LDOS,0.6343812574125207,0.72
LEN,1.6842704332583107,1.391
LH,1.0638440277811203,0.871
LHX,0.7469977283144692,0.762
LII,1.0998593716725324,1.105
LIN,0.9274821899587424,0.94
LKQ,1.2928820765936675,0.837
LLY,0.3858418356460421,0.461
LMT,0.4631398143944636,0.274
LNT,0.6199022132902343,0.54
LOW,1.08681255255982,0.88
LRCX,1.4435689265581793,1.841
LULU,1.1204382360774627,1.072
LUV,1.1575577355972404,1.2
LVS,1.1101810766485396,0.999
LW,0.7663091870367873,0.506
LYB,1.097553957546067,0.89
LYV,1.362324079224169,1.403
MA,1.073573759005903,0.967
MAA,0.9322223162432623,0.777
MAR,1.5809904717748782,1.346
MAS,1.2171257625581322,1.177
MCD,0.7196577682930766,0.504
MCHP,1.4603796278874113,1.535
MCK,0.4782095463482286,0.513
MCO,1.2676167606596034,1.412
MDLZ,0.5487074914998997,0.457
MDT,0.8367217212355202,0.792
MET,1.0472190062577462,0.849
META,1.1375175424945905,1.203
MGM,2.2694495482837205,1.672
MHK,1.4694399899056316,1.291
MKC,0.7519559624241059,0.628
MLM,0.914814751966735,1.012
MMC,0.9496181610804176,0.811
MMM,0.895969198764026,1.108
MNST,0.7222672770671866,0.541
MO,0.7165631633286375,0.572
MOH,0.5059278763387278,0.553
MOS,1.4193458760636295,1.01
MPC,1.4901976838261393,0.883
MPWR,1.00992013607961,1.275
MRK,0.3877949685787067,0.373
MRNA,1.2349325699663003,2.007
MS,1.3487083507717077,1.324
MSCI,1.0688953095065967,1.332
MSFT,0.8687817226306943,1.023
MSI,1.0233565194656409,0.969
MTB,0.7959661618750614,0.612
MTCH,1.2800910912820702,1.382
MTD,1.089603273443852,1.375
MU,1.169975357235709,1.567
NCLH,2.9419048384674684,2.222
NDAQ,0.9730896827261613,0.989
NDSN,0.9196079117360378,0.967
NEE,0.5767250172190512,0.652
NEM,0.4797684591635836,0.356
NFLX,1.3162425955514334,1.593
NI,0.5577981913694691,0.601
NKE,1.0110841903991972,1.298
NOC,0.3370903072996248,0.098
NOW,0.9628836953952884,0.923
NRG,1.1289417188485371,1.143
NSC,1.3118555249448416,1.32
NTAP,1.180045881904409,1.448
NTRS,1.0833080282476228,1.317
NUE,1.5954389624814844,1.762
NVDA,1.613723640042274,2.123
NVR,1.2080165933659257,0.945
NWS,1.3696397300467915,1.181
