Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
A,1.0332252766079812,-0.0016527900339737217,-0.019654176829703496,0.719849987020969,0.5181840038140892,59
AAPL,1.1672712762062905,0.008886969905752563,0.11201374725630076,0.7638071044525305,0.5834012928121589,59
ABBV,0.5539302537857306,0.010397178494784463,0.13215397974454857,0.42150395136421004,0.17766558101564234,59
ABNB,0.6932221700410175,-0.010422059768788482,-0.11813914575249751,0.4362324043648062,0.1902987106178998,48
ABT,0.715574569053391,-0.001967005371218906,-0.023350370122420805,0.6370220688590229,0.40579711621342973,59
ACGL,0.6432552343013525,0.00608088346965394,0.07546124438931523,0.38447953290123954,0.14782451121995535,59
ACN,1.217476464108577,-0.001572104404103455,-0.018702984828767533,0.8352952047793059,0.6977180791273025,59
ADBE,1.3032434390426666,-0.008648523448546821,-0.09898526509625383,0.6627256851639908,0.439205333776081,59
ADI,0.991773277064363,0.0025579947467228876,0.031131500812268342,0.676404925400318,0.4575236231058098,59
ADM,0.7028968686114708,-0.003433959931357782,-0.04043808196543652,0.45769120215023007,0.20948123652572276,59
ADP,0.8048636517823275,0.002187299088626816,0.026565664957474366,0.6365100953797642,0.40514510152035654,59
ADSK,1.3939431608203268,-0.006500773961686786,-0.07527968762483483,0.7446059476290856,0.5544380172446086,59
AEE,0.5064940505825043,-0.0024573991412148158,-0.029093474967402222,0.47014750227031255,0.22103867389101353,59
AEP,0.5573173056657995,-0.005580459560700273,-0.06494793051985204,0.47598224391858207,0.22655909652576856,59
AES,1.0270612457389663,-0.015071282056256616,-0.1665921126553641,0.4756263819307533,0.2262204551885388,59
AFL,0.9637627924812056,0.003977995007030995,0.04879432705692577,0.6712769093403901,0.4506126890135863,59
AIG,1.1749710090977301,-0.0031358925764879385,-0.036988415338305214,0.5734592993324629,0.3288555679908792,59
AIZ,0.6049372408627408,0.002848852990907577,0.0347270088881344,0.4997163965103604,0.24971647694129975,59
AJG,0.7614141184942775,0.010020040362773014,0.12709336019457407,0.608676150256601,0.3704866558911964,59
AKAM,0.6437996049993199,-0.006868876994946873,-0.07938275535948935,0.4547787947676143,0.20682375217028384,59
ALB,1.6032034811300608,-0.013038772671188513,-0.14571830341741876,0.5700543613028792,0.3249619748404336,59
ALGN,1.7263497834503096,-0.019647320907805924,-0.2118877461887675,0.604252870221994,0.36512153117151797,59
