timestamp,open,high,low,close,adjusted close,volume,dividend amount
2000-01-07,104.87,112.5,95.0,99.5,0.7467,27278600,0.0
2000-01-14,102.0,102.25,86.5,100.44,0.7538,29872700,0.0
2000-01-21,101.0,121.5,100.44,111.31,0.8354,30213200,0.0
2000-01-28,108.44,114.19,100.62,101.62,0.7626,18470300,0.0
2000-02-04,101.0,110.0,94.5,108.0,0.8105,21289500,0.0
2000-02-11,108.0,117.12,105.94,108.75,0.8162,14859900,0.0
2000-02-18,109.31,119.94,108.62,111.25,0.8349,15664900,0.0
2000-02-25,110.12,119.12,106.69,110.37,0.8283,13580100,0.0
2000-03-03,110.12,132.06,108.37,128.0,0.9606,21508200,0.0
2000-03-10,126.0,129.13,118.25,125.75,0.9437,11429700,0.0
2000-03-17,122.12,126.5,114.0,125.0,0.9381,16600800,0.0
2000-03-24,123.5,150.38,121.62,138.69,1.0408,20591900,0.0
2000-03-31,137.63,144.75,125.44,135.81,1.0192,13759100,0.0
2000-04-07,135.5,139.5,116.75,131.75,0.9888,17398400,0.0
2000-04-14,131.69,132.75,104.87,111.87,0.8396,25827400,0.0
2000-04-20,109.5,130.25,109.06,118.87,0.8921,18238900,0.0
2000-04-28,115.0,128.75,114.75,124.06,0.9311,15878200,0.0
2000-05-05,124.87,126.25,110.56,113.12,0.8489,14607300,0.0
2000-05-12,112.09,113.69,98.75,107.62,0.8077,16551700,0.0
2000-05-19,108.06,109.06,93.37,94.0,0.7055,23499300,0.0
2000-05-26,93.75,93.75,83.0,86.37,0.6482,22673700,0.0
2000-06-02,87.62,99.75,80.37,92.56,0.6946,25386200,0.0
2000-06-09,93.31,98.5,89.69,95.75,0.7186,14973700,0.0
2000-06-16,96.37,96.44,88.19,91.19,0.6844,13137300,0.0
2000-06-23,90.56,103.94,50.31,51.69,0.7759,24381700,0.0
2000-06-30,52.5,55.5,51.06,52.38,0.7862,21464500,0.0
2000-07-07,52.13,55.19,49.63,54.44,0.8171,16235600,0.0
2000-07-14,54.09,60.63,53.75,57.69,0.8659,28876100,0.0
2000-07-21,58.25,58.88,51.75,53.56,0.8039,30323000,0.0
2000-07-28,52.56,53.25,46.88,48.31,0.7251,24413000,0.0
2000-08-04,49.16,51.63,44.25,47.38,0.7112,18892100,0.0
2000-08-11,47.88,49.06,45.56,47.69,0.7158,22025600,0.0
2000-08-18,47.59,52.44,46.31,50.0,0.7505,15635900,0.0
2000-08-25,50.25,57.5,49.63,56.81,0.8527,23095700,0.0
2000-09-01,57.25,63.63,57.06,63.44,0.9522,28355300,0.0
2000-09-08,62.66,64.12,57.75,58.88,0.8838,19054100,0.0
2000-09-15,58.69,60.38,54.25,55.23,0.829,26829100,0.0
2000-09-22,55.25,61.44,50.0,52.19,0.7834,38582600,0.0
2000-09-29,52.75,55.5,25.37,25.75,0.3865,170178100,0.0
2000-10-06,26.69,26.75,21.0,22.19,0.3331,132403500,0.0
2000-10-13,22.62,22.87,19.12,22.06,0.3311,87962600,0.0
2000-10-20,22.31,23.25,18.31,19.5,0.2927,81324100,0.0
2000-10-27,20.27,20.87,17.5,18.56,0.2786,62251200,0.0
2000-11-03,19.12,23.0,18.75,22.25,0.334,57267000,0.0
2000-11-10,22.44,22.62,19.06,19.06,0.2861,36011000,0.0
2000-11-17,18.75,20.5,18.25,18.5,0.2777,32298700,0.0
2000-11-24,18.59,19.5,18.25,19.31,0.2898,20562200,0.0
2000-12-01,19.87,19.94,16.12,17.06,0.2561,39560200,0.0
2000-12-08,17.19,17.44,14.0,15.06,0.226,57223300,0.0
2000-12-15,15.19,16.0,14.0,14.06,0.211,32873600,0.0
2000-12-22,14.56,15.25,13.63,15.0,0.2251,34822200,0.0
2000-12-29,14.88,15.0,14.19,14.88,0.2233,26389200,0.0
2001-01-05,14.88,18.5,14.44,16.37,0.2457,43234600,0.0
2001-01-12,16.94,18.5,15.94,17.19,0.258,49473600,0.0
2001-01-19,17.44,19.56,16.5,19.5,0.2927,56261900,0.0
2001-01-26,19.06,20.94,18.44,19.56,0.2936,55151400,0.0
2001-02-02,19.56,22.5,19.56,20.62,0.3095,54923100,0.0
2001-02-09,20.5,21.39,18.69,19.12,0.287,41730800,0.0
2001-02-16,19.06,20.56,18.5,19.0,0.2852,24922100,0.0
2001-02-23,19.19,19.94,18.0,18.81,0.2823,25553200,0.0
2001-03-02,19.06,20.44,17.19,19.25,0.2889,32140200,0.0
2001-03-09,19.37,22.06,19.25,20.25,0.3039,35348400,0.0
2001-03-16,19.69,21.37,18.12,19.62,0.2945,41281400,0.0
2001-03-23,19.75,23.56,19.37,23.0,0.3452,51692500,0.0
2001-03-30,23.13,23.75,21.13,22.07,0.3313,51363400,0.0
2001-04-06,22.09,22.66,18.75,20.59,0.309,38691700,0.0
2001-04-12,20.69,23.02,20.06,22.42,0.3365,24231900,0.0
2001-04-20,22.09,25.75,19.6,25.04,0.3758,82827500,0.0
2001-04-27,24.34,26.29,23.51,26.2,0.3933,44681300,0.0
2001-05-04,26.7,27.12,23.96,25.75,0.3865,33449100,0.0
2001-05-11,25.62,25.76,22.76,22.85,0.343,25158900,0.0
2001-05-18,22.89,25.5,22.75,23.53,0.3532,24281200,0.0
2001-05-25,23.63,24.13,22.5,22.76,0.3416,28311700,0.0
2001-06-01,22.32,22.5,19.3,20.89,0.3136,39143500,0.0
2001-06-08,21.08,21.7,20.33,21.32,0.32,29369600,0.0
2001-06-15,21.05,21.73,19.35,20.44,0.3068,33236700,0.0
2001-06-22,20.41,23.0,19.98,22.26,0.3341,30821000,0.0
2001-06-29,22.5,25.1,22.45,23.25,0.349,34826100,0.0
2001-07-06,23.64,24.23,21.72,22.03,0.3307,14246500,0.0
2001-07-13,22.09,25.01,20.84,24.85,0.373,40585500,0.0
2001-07-20,24.88,25.22,19.49,19.98,0.2999,60164900,0.0
2001-07-27,20.09,20.5,17.85,18.96,0.2846,31015900,0.0
2001-08-03,19.12,19.9,18.51,19.5,0.2927,21797600,0.0
2001-08-10,19.04,19.7,18.54,19.02,0.2855,16642800,0.0
2001-08-17,19.1,19.36,17.97,18.07,0.2712,20763300,0.0
2001-08-24,18.14,18.62,17.58,18.57,0.2787,19989100,0.0
2001-08-31,18.6,19.3,17.28,18.55,0.2784,20945500,0.0
2001-09-07,18.5,19.08,17.2,17.28,0.2594,22008400,0.0
2001-09-10,17.0,17.5,16.92,17.37,0.2607,5515100,0.0
2001-09-21,16.0,17.72,14.68,15.73,0.2361,38216400,0.0
2001-09-28,16.11,16.84,14.93,15.51,0.2328,33037300,0.0
2001-10-05,15.49,16.25,14.83,16.14,0.2423,33409700,0.0
2001-10-12,15.57,18.08,15.5,18.01,0.2703,23424000,0.0
2001-10-19,17.95,18.41,16.96,18.3,0.2747,28332200,0.0
2001-10-26,18.21,19.42,17.75,18.67,0.2802,35451100,0.0
2001-11-02,18.57,18.86,17.06,18.57,0.2787,23212400,0.0
2001-11-09,18.84,20.13,18.53,18.71,0.2808,25200700,0.0
2001-11-16,18.66,19.9,17.96,18.97,0.2847,19482400,0.0
2001-11-23,19.0,20.2,18.96,19.84,0.2978,15549300,0.0
2001-11-30,19.94,21.55,19.88,21.3,0.3197,26545200,0.0
2001-12-07,21.06,24.03,20.6,22.54,0.3383,29868100,0.0
2001-12-14,22.29,22.99,20.09,20.39,0.306,17065600,0.0
2001-12-21,20.4,21.68,20.19,21.0,0.3152,21001900,0.0
2001-12-28,20.9,23.0,20.9,22.43,0.3367,12279700,0.0
2002-01-04,22.51,23.95,21.83,23.69,0.3556,30165400,0.0
