timestamp,open,high,low,close,adjusted close,volume,dividend amount
2009-08-14,16.63,17.0,15.5,16.6,1.1882,7966100,0.0
2009-08-21,16.27,17.97,16.2,17.82,1.2755,6517600,0.0
2009-08-28,17.52,19.0,17.15,18.47,1.3221,4717100,0.0
2009-09-04,18.35,18.44,16.94,17.76,1.2713,8498000,0.0
2009-09-11,17.76,17.93,16.54,16.88,1.2083,2161600,0.0
2009-09-18,16.64,17.9,16.18,16.2,1.1596,7968800,0.0
2009-09-25,16.28,17.8488,15.87,17.13,1.2262,3444700,0.0
2009-10-02,17.32,17.85,15.9002,16.09,1.1517,2393000,0.0
2009-10-09,16.1,17.1993,15.92,16.25,1.1632,2377800,0.0
2009-10-16,16.22,17.95,16.04,16.43,1.1761,5897400,0.0
2009-10-23,16.46,16.91,15.61,16.05,1.1489,4983200,0.0
2009-10-30,15.91,16.12,14.7184,15.0,1.0737,2574600,0.0
2009-11-06,15.1,15.74,14.33,15.29,1.0945,1977200,0.0
2009-11-13,15.26,15.95,15.09,15.58,1.1152,745300,0.0
2009-11-20,15.63,16.21,15.25,15.44,1.1052,909900,0.0
2009-11-27,15.54,15.98,15.01,15.86,1.1353,1185000,0.0
2009-12-04,15.87,16.71,15.25,16.52,1.1825,2995500,0.0
2009-12-11,16.5,16.99,16.34,16.58,1.1868,987500,0.0
2009-12-18,16.74,17.13,16.14,16.39,1.1732,1247700,0.0
2009-12-24,16.79,17.0,16.23,16.78,1.2011,711300,0.0
2009-12-31,16.75,18.29,16.75,18.29,1.3092,1881300,0.0
2010-01-08,18.3,19.3,18.01,19.17,1.3722,1934600,0.0
2010-01-15,19.2,19.55,18.15,18.24,1.3056,3597400,0.0
2010-01-22,17.9,18.49,17.3,17.56,1.2569,1837200,0.0
2010-01-29,17.67,18.0,16.842,17.38,1.2441,19537700,0.0
2010-02-05,17.38,17.8,16.6,17.2,1.2312,5483500,0.0
2010-02-12,17.08,17.39,16.5,17.36,1.2426,1799100,0.0
2010-02-19,17.4,17.62,17.17,17.53,1.2548,1766900,0.0
2010-02-26,17.5,18.39,17.13,18.15,1.2992,6119400,0.0
2010-03-05,18.7,19.94,18.12,19.36,1.3858,3689900,0.0
2010-03-12,19.48,20.0,19.09,19.65,1.4065,2582700,0.0
2010-03-19,19.56,20.28,19.03,20.11,1.4395,1498600,0.0
2010-03-26,19.87,20.3,19.31,19.91,1.4251,2017300,0.0
2010-04-01,20.09,20.8,19.94,20.5,1.4674,1636600,0.0
2010-04-09,20.69,20.83,19.79,20.01,1.4323,1330900,0.0
2010-04-16,19.92,22.0,19.67,21.88,1.5662,1960400,0.0
2010-04-23,21.68,22.88,20.97,21.49,1.5382,2710200,0.0
2010-04-30,21.35,22.025,20.49,20.51,1.4681,1498300,0.0
2010-05-07,20.65,21.47,18.3812,19.29,1.3808,3122500,0.0
2010-05-14,20.0,20.92,19.72,20.23,1.4481,2261900,0.0
2010-05-21,20.25,20.88,18.93,19.81,1.418,3145900,0.0
2010-05-28,19.75,21.55,18.52,20.65,1.4781,3968000,0.0
2010-06-04,20.66,22.0,20.34,20.81,1.4896,2279900,0.0
2010-06-11,20.88,21.98,20.5519,21.93,1.5697,4533000,0.0
2010-06-18,22.15,23.694,21.31,23.04,1.6492,8567000,0.0
2010-06-25,23.39,23.4,20.73,21.47,1.5368,14421400,0.0
2010-07-02,21.54,21.86,20.36,21.57,1.544,5341800,0.0
2010-07-09,21.81,22.21,20.5,22.01,1.5755,2625000,0.0
2010-07-16,21.85,23.0,21.45,21.99,1.574,3192200,0.0
2010-07-23,22.05,23.13,21.6,22.88,1.6377,3213400,0.0
2010-07-30,22.89,23.06,21.09,21.76,1.5576,2804000,0.0
2010-08-06,21.98,22.8,21.251,22.59,1.617,2780400,0.0
