timestamp,open,high,low,close,adjusted close,volume,dividend amount
2000-01-07,91.06,93.25,83.69,93.06,31.136,15946400,0.0
2000-01-14,93.06,96.13,48.0,49.06,32.829,11209100,0.0
2000-01-21,48.75,53.13,48.0,48.5,32.4543,19134600,0.0
2000-01-28,48.19,52.0,45.75,46.0,30.7814,18463300,0.0
2000-02-04,46.06,55.0,45.0,53.0,35.4655,20640400,0.0
2000-02-11,52.0,53.75,51.0,51.69,34.5889,11307000,0.0
2000-02-18,51.56,51.63,41.88,44.94,30.0721,21722900,0.0
2000-02-25,44.81,48.34,42.63,47.63,31.8721,19725800,0.0
2000-03-03,47.25,51.88,46.13,49.94,33.4179,25199800,0.0
2000-03-10,49.78,50.25,42.38,44.13,29.5301,27323200,0.0
2000-03-17,44.0,56.06,42.38,53.94,36.0945,31946200,0.0
2000-03-24,53.75,55.06,51.0,53.88,36.0544,21465900,0.0
2000-03-31,53.25,55.69,49.44,52.56,35.1711,32742200,0.0
2000-04-07,51.5,55.25,49.75,52.81,35.3384,23185400,0.0
2000-04-14,52.25,60.5,50.38,50.88,34.0469,31400100,0.0
2000-04-20,49.5,55.63,46.31,54.81,36.6767,20108200,0.0
2000-04-28,53.25,58.13,51.63,54.06,36.1748,22096000,0.0
2000-05-05,54.06,59.0,46.31,48.81,32.6617,28985100,0.0
2000-05-12,48.63,50.5,46.75,47.81,31.9926,15034100,0.0
2000-05-19,47.88,52.5,44.81,45.0,30.1122,18152700,0.0
2000-05-26,45.25,45.5,25.94,30.88,20.6637,105479900,0.0
2000-06-02,31.75,34.44,31.31,34.25,22.9187,74318300,0.0
2000-06-09,34.25,34.31,31.75,32.31,21.6206,45036800,0.0
2000-06-16,32.25,34.69,31.25,32.5,21.7477,25429100,0.0
2000-06-23,32.25,33.36,31.38,32.0,21.4131,30809900,0.0
2000-06-30,32.19,33.44,31.75,33.0,22.0823,30543900,0.0
2000-07-07,33.0,34.88,32.0,34.56,23.1262,17155200,0.0
2000-07-14,34.69,37.13,34.25,36.0,24.0898,28656900,0.0
2000-07-21,36.0,36.25,31.25,32.25,21.5804,26479800,0.0
2000-07-28,32.31,33.63,31.19,32.25,21.5804,29583800,0.0
2000-08-04,32.19,35.81,31.63,35.5,23.7552,31061400,0.0
2000-08-11,35.25,38.06,34.31,34.94,23.3805,27308000,0.0
2000-08-18,35.0,36.56,32.44,33.44,22.3767,20258700,0.0
2000-08-25,33.56,33.63,32.0,32.94,22.0421,17724600,0.0
2000-09-01,33.0,35.94,32.88,35.31,23.6281,21491900,0.0
2000-09-08,35.38,39.06,35.0,37.69,25.2207,14888600,0.0
2000-09-15,37.88,39.0,34.75,35.31,23.6281,26635100,0.0
2000-09-22,35.31,36.13,32.63,34.94,23.3805,21900000,0.0
2000-09-29,35.0,36.38,33.38,34.94,23.3805,20273600,0.0
2000-10-06,33.56,35.69,32.81,33.5,22.4169,27912200,0.0
2000-10-13,33.44,35.0,29.31,32.13,21.5001,45921200,0.0
2000-10-20,32.06,35.0,31.38,34.31,22.9589,23220600,0.0
2000-10-27,34.19,34.31,32.56,33.69,22.544,21800800,0.0
2000-11-03,33.72,36.94,33.19,35.31,23.6281,35941400,0.0
2000-11-10,35.5,37.19,32.94,33.0,22.0823,24682100,0.0
2000-11-17,32.75,37.0,32.5,36.06,24.1299,18151000,0.0
2000-11-24,35.94,36.25,34.38,35.44,23.7151,15136100,0.0
2000-12-01,35.56,37.38,32.06,32.63,21.8347,39885100,0.0
2000-12-08,32.69,36.5,32.38,33.25,22.2496,30616000,0.0
2000-12-15,33.0,35.94,31.75,34.88,23.3403,45517600,0.0
2000-12-22,35.0,37.81,33.69,37.38,25.0132,35200400,0.0
2000-12-29,37.12,41.5,35.31,39.94,26.7263,25557300,0.0
2001-01-05,40.0,44.81,39.19,41.31,27.643,61338000,0.0
2001-01-12,40.81,44.06,39.0,43.06,28.8141,33935800,0.0
2001-01-19,43.25,44.25,40.31,40.44,27.0609,21875800,0.0
2001-01-26,41.0,43.69,39.75,41.25,27.6029,31930000,0.0
2001-02-02,41.88,46.38,41.44,43.94,29.4029,31088100,0.0
