timestamp,open,high,low,close,adjusted close,volume,dividend amount
2000-01-07,85.88,90.88,82.5,90.31,17.3252,11249200,0.0
2000-01-14,90.06,90.06,85.56,87.0,16.6902,7407500,0.0
2000-01-21,87.5,89.88,86.81,88.56,16.9895,8356000,0.0
2000-01-28,89.5,90.5,81.88,82.56,15.8384,8844500,0.0
2000-02-04,82.06,84.44,78.38,78.56,15.071,8714000,0.0
2000-02-11,79.13,80.69,72.19,74.0,14.1962,10178900,0.0
2000-02-18,74.19,78.94,73.63,76.19,14.7385,11619300,0.65
2000-02-25,75.06,76.19,69.94,71.06,13.7461,9582700,0.0
2000-03-03,71.06,77.44,70.88,74.56,14.4232,11357900,0.0
2000-03-10,74.44,84.81,73.69,80.38,15.549,12684500,0.0
2000-03-17,80.94,87.0,79.31,83.31,16.1158,10790900,0.0
2000-03-24,83.56,86.5,81.69,85.63,16.5646,7816800,0.0
2000-03-31,84.19,94.25,82.44,92.44,17.8819,13223200,0.0
2000-04-07,92.63,93.75,86.31,86.44,16.7213,9677400,0.0
2000-04-14,85.44,90.44,85.13,85.69,16.5762,8719500,0.0
2000-04-20,85.0,86.31,82.31,86.31,16.6961,6122800,0.0
2000-04-28,85.31,89.0,84.06,85.13,16.4679,6982900,0.0
2000-05-05,85.5,90.75,85.5,90.75,17.555,6825300,0.0
2000-05-12,91.06,94.31,88.88,94.27,18.2359,7337500,0.0
2000-05-19,93.81,94.75,90.06,93.31,18.1787,6978400,0.65
2000-05-26,93.81,94.88,91.13,91.38,17.8027,7235500,0.0
2000-06-02,91.44,92.44,88.81,90.56,17.643,5817900,0.0
2000-06-09,90.75,93.94,90.25,92.0,17.9235,6824500,0.0
2000-06-16,92.81,94.69,91.44,92.75,18.0696,10049000,0.0
2000-06-23,93.31,93.44,89.38,89.75,17.4852,7345500,0.0
2000-06-30,89.69,90.5,84.56,84.81,16.5227,7887000,0.0
2000-07-07,85.0,86.63,82.06,83.95,16.3552,6245900,0.0
2000-07-14,84.06,87.56,82.69,83.75,16.3162,7156300,0.0
2000-07-21,84.0,84.5,78.5,78.5,15.2934,7620400,0.0
2000-07-28,78.69,82.38,76.88,80.58,15.6987,10859900,0.0
2000-08-04,80.0,81.81,77.63,79.33,15.4551,8073100,0.0
2000-08-11,79.69,84.56,79.63,84.0,16.3649,7009400,0.0
2000-08-18,83.25,87.75,83.25,86.03,16.8885,7181300,0.65
2000-08-25,86.19,89.69,85.5,86.88,17.0554,6836200,0.0
2000-09-01,86.13,88.06,84.38,85.47,16.7786,5667600,0.0
2000-09-08,86.31,89.5,85.44,86.69,17.0181,5353100,0.0
2000-09-15,86.69,91.44,86.69,90.19,17.7052,9189700,0.0
2000-09-22,90.88,92.31,83.69,84.25,16.5391,12574900,0.0
2000-09-29,83.0,86.88,81.56,85.25,16.7354,9245400,0.0
2000-10-06,86.19,87.75,83.44,84.38,16.5646,6578500,0.0
2000-10-13,84.81,88.94,84.0,84.25,16.5391,11954800,0.0
2000-10-20,80.0,83.75,78.5,83.44,16.3801,20499800,0.0
2000-10-27,83.5,83.63,80.0,80.31,15.7656,11241600,0.0
2000-11-03,79.38,84.13,79.38,81.06,15.9128,9370500,0.0
2000-11-10,80.94,84.75,80.56,84.13,16.5155,7968200,0.0
2000-11-17,85.06,85.31,82.63,83.75,16.5682,6234600,0.65
2000-11-24,84.31,85.44,83.38,84.31,16.679,4190300,0.0
2000-12-01,85.13,86.0,80.5,82.63,16.3467,10169200,0.0
2000-12-08,82.38,84.5,79.38,81.31,16.0855,8289800,0.0
2000-12-15,81.38,82.81,78.25,78.25,15.4802,11542400,0.0
2000-12-22,78.88,82.44,78.19,80.63,15.951,10897000,0.0
2000-12-29,81.62,86.94,81.0,84.44,16.7047,7836100,0.0
2001-01-05,85.19,86.94,80.06,81.5,16.1231,9120000,0.0
2001-01-12,81.5,82.38,79.63,80.94,16.0123,10885500,0.0
2001-01-19,80.88,81.0,78.44,79.31,15.6899,10686400,0.0
2001-01-26,78.75,83.5,78.69,82.63,16.3467,12724200,0.0
2001-02-02,81.62,83.58,80.91,82.42,16.3051,7469400,0.0
2001-02-09,82.8,86.56,82.55,85.89,16.9916,11262500,0.0
2001-02-16,86.0,87.49,84.7,86.55,17.2518,11853800,0.65
2001-02-23,86.3,87.22,84.14,84.46,16.8352,8469300,0.0
2001-03-02,84.0,88.5,83.6,88.45,17.6305,11809800,0.0
2001-03-09,88.75,93.45,88.75,92.78,18.4936,13549300,0.0
2001-03-16,92.74,92.79,87.18,87.5,17.4412,12911100,0.0
2001-03-23,88.1,91.25,85.35,86.7,17.2817,17030400,0.0
2001-03-30,87.8,88.67,85.33,87.8,17.501,10222100,0.0
2001-04-06,87.8,89.9,84.59,89.22,17.784,12589600,0.0
2001-04-12,89.75,92.95,89.75,91.8,18.2983,9512900,0.0
2001-04-20,92.0,93.95,91.32,93.25,18.5873,11994100,0.0
2001-04-27,93.9,97.94,93.57,97.49,19.4324,15868000,0.0
2001-05-04,97.49,97.8,90.67,93.35,18.6072,14127400,0.0
2001-05-11,93.98,95.9,92.67,94.02,18.7408,8682200,0.0
2001-05-18,94.02,97.75,93.9,97.57,19.5811,10773800,0.65
2001-05-25,98.0,98.49,93.6,94.18,18.9008,9983400,0.0
2001-06-01,96.0,96.8,94.95,96.38,19.3423,9074700,0.0
2001-06-08,96.95,98.06,95.7,96.44,19.3543,12275800,0.0
2001-06-15,97.0,98.4,95.01,96.69,19.4045,10589100,0.0
2001-06-22,96.69,96.85,92.35,94.74,19.0132,12600100,0.0
2001-06-29,94.95,95.35,87.94,90.5,18.1622,14309100,0.0
2001-07-06,90.49,92.54,89.45,91.0,18.2626,9900000,0.0
2001-07-13,91.0,91.0,87.05,89.4,17.9415,12507300,0.0
2001-07-20,89.5,90.19,85.1,88.95,17.8512,12756100,0.0
2001-07-27,89.1,91.19,84.75,91.1,18.2827,13169000,0.0
2001-08-03,91.4,92.46,89.75,90.68,18.1984,11556100,0.0
2001-08-10,90.45,92.44,89.4,91.75,18.4131,11529700,0.0
2001-08-17,91.8,93.35,91.55,92.01,18.5943,12360200,0.65
2001-08-24,92.05,93.2,90.4,92.8,18.754,12181100,0.0
2001-08-31,93.1,93.61,89.96,90.75,18.3397,10117600,0.0
2001-09-07,91.1,93.31,90.8,92.4,18.6731,13183200,0.0
2001-09-10,92.4,92.4,91.55,91.7,18.5317,3042200,0.0
2001-09-21,92.5,92.5,81.0,84.01,16.9776,21955000,0.0
2001-09-28,84.55,84.75,78.6,84.75,17.1271,24136700,0.0
2001-10-05,83.85,88.77,82.08,88.44,17.8729,16985600,0.0
2001-10-12,90.0,93.77,87.77,91.0,18.3902,24431700,0.0
2001-10-19,90.5,90.55,84.8,86.74,17.5293,14906800,0.0
2001-10-26,86.9,89.35,85.25,88.93,17.9719,14688600,0.0
2001-11-02,89.2,90.0,87.4,87.45,17.6728,15831600,0.0
2001-11-09,87.95,89.7,85.86,89.49,18.0851,15422600,0.0
2001-11-16,88.9,90.22,82.5,83.45,17.0007,21328700,0.7
2001-11-23,83.45,87.73,82.0,86.58,17.6384,12459100,0.0
2001-11-30,85.15,86.0,84.1,85.01,17.3185,11842100,0.0
2001-12-07,86.91,88.0,84.36,87.23,17.7708,13246300,0.0
2001-12-14,86.89,87.4,83.78,84.0,17.1128,13463000,0.0
2001-12-21,84.25,88.89,83.58,88.6,18.0499,14452500,0.0
2001-12-28,88.6,91.05,88.51,90.44,18.4247,7450300,0.0
2002-01-04,90.0,90.7,87.91,89.3,18.1925,9219500,0.0
2002-01-11,89.44,90.5,87.25,87.41,17.8075,12570000,0.0
2002-01-18,87.42,89.2,86.71,86.8,17.6832,11280600,0.0
2002-01-25,87.4,89.02,86.11,88.56,18.0417,8254300,0.0
2002-02-01,89.18,89.18,81.1,85.37,17.3919,22298500,0.0
2002-02-08,84.85,85.24,81.37,81.85,16.6748,13707100,0.0
2002-02-15,81.05,83.25,80.8,82.35,16.9191,13227600,0.7
2002-02-22,81.9,83.75,80.8,83.7,17.1964,10298600,0.0
2002-03-01,83.5,85.5,83.01,85.5,17.5662,13217100,0.0
2002-03-08,85.52,88.98,84.91,87.65,18.008,13902900,0.0
2002-03-15,88.7,90.4,88.4,89.8,18.4497,14564500,0.0
2002-03-22,90.19,91.6,89.0,89.11,18.3079,10559000,0.0
2002-03-28,89.11,91.19,88.4,90.27,18.5462,8185100,0.0
2002-04-05,90.69,91.04,86.75,87.14,17.9032,11690700,0.0
2002-04-12,87.84,88.95,83.55,84.1,17.2786,12611600,0.0
