timestamp,open,high,low,close,adjusted close,volume,dividend amount
2000-01-07,57.31,60.75,55.25,60.75,14.8964,23182800,0.0
2000-01-14,60.5,61.94,58.75,61.06,14.9725,20065400,0.0
2000-01-21,61.31,66.88,61.06,66.88,16.3996,27044900,0.0
2000-01-28,66.0,66.75,56.94,56.94,13.9622,36587200,0.0
2000-02-04,57.06,58.75,55.06,56.25,13.793,23489700,0.0
2000-02-11,56.06,57.88,54.88,55.56,13.6238,19836100,0.0
2000-02-18,55.06,55.75,50.75,51.38,12.5988,22479200,0.0
2000-02-25,50.81,52.63,48.06,48.69,11.9392,23960700,0.0
2000-03-03,48.06,51.81,47.56,50.13,12.2923,28559200,0.0
2000-03-10,49.19,49.5,44.06,45.5,11.157,36098200,0.0
2000-03-17,43.25,49.94,42.88,49.13,12.0939,40543800,0.17
2000-03-24,49.0,49.69,46.19,47.0,11.5696,23159100,0.0
2000-03-31,46.81,49.94,44.88,46.94,11.5548,34076600,0.0
2000-04-07,47.44,52.38,44.75,46.19,11.3702,47441300,0.0
2000-04-14,46.5,49.94,44.88,47.0,11.5696,29483400,0.0
2000-04-20,46.75,49.69,46.25,49.44,12.1702,21031500,0.0
2000-04-28,49.44,50.5,46.75,47.25,11.6311,22108700,0.0
2000-05-05,46.63,49.19,45.94,47.06,11.5844,22101200,0.0
2000-05-12,47.69,53.81,47.63,52.25,12.862,36439300,0.0
2000-05-19,52.0,52.75,48.0,50.06,12.3229,25567000,0.0
2000-05-26,50.06,55.0,49.44,54.56,13.4306,23913200,0.0
2000-06-02,54.94,55.0,52.13,52.56,12.9383,12655400,0.0
2000-06-09,52.31,53.38,51.06,52.31,12.8767,15528400,0.0
2000-06-16,52.31,56.19,52.25,55.5,13.7055,27458700,0.17
2000-06-23,54.0,58.31,52.69,57.88,14.2932,24864400,0.0
2000-06-30,57.94,60.88,56.25,57.44,14.1846,35592500,0.0
2000-07-07,58.13,59.25,57.81,58.75,14.5081,12376000,0.0
2000-07-14,58.63,58.69,55.25,57.63,14.2315,17416900,0.0
2000-07-21,57.56,61.25,56.56,60.86,15.0291,24200200,0.0
2000-07-28,60.0,63.0,58.63,62.69,15.481,22185600,0.0
2000-08-04,62.06,64.0,61.13,62.13,15.3427,18330400,0.0
2000-08-11,61.56,62.75,59.69,62.25,15.3724,14945600,0.0
2000-08-18,62.25,63.25,59.5,60.31,14.8933,16284900,0.0
2000-08-25,59.75,59.94,55.0,56.0,13.829,17753500,0.0
2000-09-01,57.25,57.75,51.5,54.25,13.3968,27065000,0.0
2000-09-08,54.0,57.06,53.25,54.56,13.4734,16894400,0.0
2000-09-15,54.25,54.69,49.94,50.81,12.5879,23317900,0.17
2000-09-22,51.0,53.5,49.19,52.88,13.1008,28838300,0.0
2000-09-29,52.63,56.63,52.63,55.13,13.6582,24539700,0.0
2000-10-06,55.5,59.38,55.25,58.44,14.4782,22694800,0.0
2000-10-13,58.19,59.56,56.38,57.19,14.1686,17061400,0.0
2000-10-20,57.06,59.25,53.75,54.81,13.5789,20458300,0.0
2000-10-27,54.88,59.31,53.88,58.94,14.6021,19838000,0.0
2000-11-03,58.88,61.44,58.69,59.31,14.6938,21911300,0.0
2000-11-10,59.13,63.06,58.81,61.88,15.3305,18510400,0.0
2000-11-17,61.31,62.81,59.63,61.44,15.2215,21403500,0.0
2000-11-24,58.75,60.31,55.25,59.0,14.617,25308900,0.0
2000-12-01,58.56,62.63,58.06,62.19,15.4494,21502100,0.17
2000-12-08,62.0,63.38,60.38,60.88,15.124,20898100,0.0
2000-12-15,60.0,60.19,53.5,53.5,13.2906,32292000,0.0
2000-12-22,54.0,59.63,53.63,58.88,14.6272,27375700,0.0
2000-12-29,58.88,61.94,58.62,60.94,15.1389,11936100,0.0
2001-01-05,60.31,62.19,56.75,57.69,14.3315,22903200,0.0
2001-01-12,57.88,59.94,56.25,56.63,14.0682,20064800,0.0
2001-01-19,57.06,58.69,55.31,55.81,13.8645,15827000,0.0
2001-01-26,55.56,59.19,55.19,57.94,14.3936,18826600,0.0
2001-02-02,57.04,58.27,56.53,57.74,14.344,16012400,0.0
2001-02-09,57.7,60.99,57.62,60.14,14.9402,18083600,0.0
2001-02-16,59.71,60.87,56.99,59.36,14.7464,19080700,0.0
2001-02-23,59.85,60.98,51.41,52.0,12.918,31544000,0.0
2001-03-02,52.0,53.9,51.45,52.55,13.0546,23407800,0.0
2001-03-09,51.25,51.88,49.39,51.5,12.7938,25844000,0.0
2001-03-16,50.6,51.3,46.2,48.65,12.1304,30214300,0.18
2001-03-23,48.05,49.1,44.0,45.5,11.345,32532700,0.0
2001-03-30,46.0,47.25,43.76,45.16,11.2602,32221500,0.0
2001-04-06,45.4,46.92,43.85,45.0,11.2203,22859400,0.0
2001-04-12,45.0,45.59,42.37,44.57,11.1131,22152800,0.0
2001-04-20,44.57,47.77,44.15,47.0,11.719,25936900,0.0
2001-04-27,47.5,48.45,46.0,47.0,11.719,18698900,0.0
2001-05-04,46.75,48.2,45.82,46.83,11.6766,20606100,0.0
2001-05-11,46.84,46.9,44.6,45.29,11.2926,20440900,0.0
2001-05-18,45.7,48.7,45.21,48.1,11.9933,21090900,0.0
2001-05-25,48.25,49.35,47.3,48.17,12.0107,16576000,0.0
2001-06-01,48.25,48.79,46.95,47.81,11.921,11974100,0.0
2001-06-08,47.5,47.67,45.65,46.0,11.4697,14816000,0.0
2001-06-15,45.52,46.13,44.11,44.26,11.0791,17361300,0.18
2001-06-22,44.26,44.48,42.59,42.85,10.7262,19803600,0.0
2001-06-29,44.0,45.66,43.03,45.0,11.2644,38276400,0.0
2001-07-06,44.79,46.05,44.57,44.6,11.1642,10873100,0.0
2001-07-13,44.95,46.14,44.29,46.01,11.5172,17324500,0.0
2001-07-20,46.1,47.2,45.61,46.11,11.5422,18123800,0.0
2001-07-27,46.0,46.05,43.65,44.79,11.2118,19647500,0.0
2001-08-03,44.54,44.79,43.5,44.7,11.1893,22348700,0.0
2001-08-10,44.78,45.98,44.3,45.67,11.4321,23484900,0.0
2001-08-17,45.5,47.89,45.35,47.54,11.9002,21874000,0.0
2001-08-24,47.9,49.85,47.71,49.21,12.3182,20871300,0.0
2001-08-31,49.0,49.75,47.31,48.67,12.183,20310900,0.0
2001-09-07,48.92,50.7,48.46,49.73,12.4484,25254000,0.0
2001-09-10,49.74,50.18,49.5,49.95,12.5035,6866300,0.0
2001-09-21,49.5,50.31,45.25,46.8,11.757,42718700,0.18
2001-09-28,47.4,49.26,46.5,46.85,11.7695,32814100,0.0
2001-10-05,46.5,46.73,44.29,45.5,11.4304,27847800,0.0
2001-10-12,46.49,46.5,44.01,44.8,11.2545,23683000,0.0
2001-10-19,44.2,48.88,44.05,48.59,12.2066,34390400,0.0
2001-10-26,48.11,49.49,47.75,49.14,12.3448,20850800,0.0
2001-11-02,49.0,49.15,47.36,48.88,12.2795,16423500,0.0
2001-11-09,48.3,49.9,48.3,49.22,12.3649,16120000,0.0
2001-11-16,48.96,50.45,48.73,49.93,12.5433,18482000,0.0
2001-11-23,50.1,50.2,48.51,49.15,12.3473,10654300,0.0
2001-11-30,48.95,49.09,46.46,46.96,11.8426,19258600,0.18
2001-12-07,46.75,47.4,46.1,46.6,11.7518,21039400,0.0
2001-12-14,46.16,46.87,45.45,46.25,11.6635,20464200,0.0
2001-12-21,46.65,48.78,45.8,48.78,12.3015,30149000,0.0
2001-12-28,48.78,48.8,46.99,47.17,11.8955,13311200,0.0
2002-01-04,47.25,47.7,46.02,46.43,11.7089,18358700,0.0
2002-01-11,47.0,47.0,44.47,45.3,11.4239,30974800,0.0
2002-01-18,45.0,45.45,43.93,45.44,11.4592,29145400,0.0
2002-01-25,45.44,45.94,43.77,45.15,11.3861,22079400,0.0
2002-02-01,45.25,45.25,43.5,44.68,11.2676,34999300,0.0
2002-02-08,44.68,46.52,44.36,45.85,11.5626,27663200,0.0
2002-02-15,45.3,47.05,45.3,46.95,11.84,21793300,0.0
2002-02-22,46.35,47.5,45.42,47.3,11.9283,18070600,0.0
2002-03-01,47.3,48.45,46.61,48.41,12.2082,21350300,0.0
2002-03-08,48.11,48.4,46.35,47.85,12.067,22611300,0.0
2002-03-15,48.1,49.05,47.01,48.64,12.3174,21373300,0.2
2002-03-22,48.8,51.48,48.18,51.25,12.9783,26167400,0.0
2002-03-28,51.45,52.68,51.35,52.26,13.2341,30597800,0.0
2002-04-05,52.35,52.41,51.5,52.18,13.2139,20073100,0.0
2002-04-12,51.6,54.45,51.54,53.36,13.5127,21750800,0.0
2002-04-19,52.85,54.98,51.8,54.91,13.9052,23192600,0.0
2002-04-26,54.99,55.85,54.15,54.45,13.7887,21742100,0.0
2002-05-03,54.45,57.91,54.07,56.86,14.399,29718300,0.0
2002-05-10,56.8,57.1,55.84,56.36,14.2724,19702300,0.0
2002-05-17,56.0,57.25,55.95,57.0,14.4345,17718500,0.0
2002-05-24,56.75,57.48,55.25,56.2,14.2319,15957900,0.0
2002-05-31,55.95,56.15,53.8,55.56,14.0698,17028700,0.0
2002-06-07,54.9,55.45,52.95,54.05,13.6874,20086000,0.0
2002-06-14,53.95,54.99,53.62,54.85,13.941,22646600,0.2
2002-06-21,54.8,56.35,54.69,56.0,14.2333,26081100,0.0
2002-06-28,56.0,57.45,54.34,56.0,14.2333,31351900,0.0
2002-07-05,56.25,57.2,55.56,56.47,14.3527,21017900,0.0
2002-07-12,56.7,57.5,50.7,51.05,12.9752,43796200,0.0
2002-07-19,50.75,52.25,44.74,45.09,11.4603,43793400,0.0
2002-07-26,45.18,48.25,43.6,47.45,12.0602,49885700,0.0
2002-08-02,48.0,50.84,47.61,50.1,12.7337,28865900,0.0
2002-08-09,50.1,51.44,47.55,51.1,12.9879,23498700,0.0
2002-08-16,50.2,52.7,49.58,52.19,13.2649,22249500,0.0
2002-08-23,52.44,53.4,50.92,52.7,13.3945,21067900,0.0
2002-08-30,52.7,53.24,50.0,51.0,12.9625,19955200,0.0
2002-09-06,50.4,50.85,49.08,49.89,12.6803,17257100,0.0
2002-09-13,49.56,51.59,49.11,49.65,12.6687,15571200,0.2
2002-09-20,49.85,51.4,47.04,47.52,12.1252,29028300,0.0
2002-09-27,47.12,49.3,46.41,48.49,12.3727,23502300,0.0
2002-10-04,47.8,51.69,47.45,50.9,12.9877,27077500,0.0
2002-10-11,50.83,52.82,50.01,51.45,13.128,31681700,0.0
2002-10-18,51.2,53.1,44.57,46.39,11.8369,55059800,0.0
2002-10-25,47.1,48.74,46.37,46.97,11.9849,28226800,0.0
2002-11-01,46.98,47.16,45.02,46.83,11.9492,27055900,0.0
2002-11-08,46.84,46.9,44.48,44.52,11.3597,32998900,0.0
2002-11-15,44.51,46.0,44.21,45.97,11.7297,27446500,0.0
2002-11-22,46.2,47.16,44.75,45.41,11.5868,28559700,0.0
2002-11-29,45.05,46.39,44.58,45.64,11.6975,18356200,0.2
2002-12-06,46.18,46.2,44.63,45.4,11.636,26697900,0.0
2002-12-13,45.2,46.91,44.5,45.85,11.7513,31900400,0.0
2002-12-20,45.85,45.99,43.57,44.08,11.2977,33036000,0.0
2002-12-27,44.1,44.7,43.23,43.47,11.1413,12436900,0.0
2003-01-03,43.57,44.99,42.9,44.74,11.4668,17404500,0.0
2003-01-10,44.6,45.38,43.7,45.2,11.5847,20714000,0.0
2003-01-17,45.3,46.01,44.84,45.1,11.5591,23957300,0.0
2003-01-24,45.2,45.59,42.75,42.83,10.9773,19382400,0.0
2003-01-31,42.35,42.76,39.15,40.46,10.3699,52789200,0.0
2003-02-07,40.55,40.75,39.5,39.53,10.1315,28330800,0.0
2003-02-14,39.7,41.0,38.85,40.8,10.457,32216200,0.0
2003-02-21,40.95,41.52,40.0,40.64,10.416,18614800,0.0
2003-02-28,40.63,40.64,39.5,40.22,10.3084,23684300,0.0
2003-03-07,40.16,40.44,37.01,37.7,9.6625,38686900,0.0
2003-03-14,37.4,40.01,37.01,39.9,10.2855,35132100,0.22
2003-03-21,39.9,42.3,39.7,42.25,10.8913,31573000,0.0
2003-03-28,41.8,41.99,40.14,40.73,10.4994,23043700,0.0
2003-04-04,40.32,42.6,39.71,41.9,10.801,26805100,0.0
2003-04-11,42.55,42.66,41.3,41.43,10.6799,19874600,0.0
2003-04-17,41.43,42.85,39.0,40.4,10.4144,34133100,0.0
2003-04-25,40.55,40.8,39.25,39.42,10.1617,27282900,0.0
2003-05-02,39.84,41.09,39.44,41.0,10.569,27665100,0.0
2003-05-09,40.85,44.18,40.3,43.99,11.3398,39691000,0.0
2003-05-16,43.99,44.98,43.639,43.95,11.3295,23293100,0.0
2003-05-23,43.7,44.87,43.62,44.19,11.3914,23951500,0.0
2003-05-30,43.98,45.951,43.85,45.57,11.7471,22670100,0.0
2003-06-06,45.94,47.251,45.34,46.89,12.0874,20594800,0.0
2003-06-13,46.4,47.58,45.59,47.35,12.2633,18858200,0.22
2003-06-20,47.45,48.338,45.94,46.47,12.0354,30930400,0.0
2003-06-27,46.28,47.47,45.78,46.51,12.0458,21707100,0.0
2003-07-03,46.35,46.64,45.89,46.23,11.9733,20253300,0.0
2003-07-11,46.23,46.35,43.35,43.91,11.3724,43622700,0.0
