timestamp,open,high,low,close,adjusted close,volume,dividend amount
2000-01-07,65.0,71.06,62.75,71.06,35.3695,18080400,0.0
2000-01-14,71.06,71.06,65.63,68.31,34.0007,17103500,0.0
2000-01-21,69.38,69.38,64.13,64.75,32.2288,10464000,0.0
2000-01-28,64.63,67.38,61.5,65.31,32.5075,16925400,0.0
2000-02-04,65.94,67.0,62.38,64.88,32.2935,12742900,0.0
2000-02-11,65.44,65.44,61.06,61.63,30.8052,13053200,0.26
2000-02-18,61.38,62.44,58.25,58.5,29.2407,16014700,0.0
2000-02-25,59.75,60.88,56.13,56.69,28.336,10373400,0.0
2000-03-03,57.0,60.5,57.0,58.0,28.9908,16339300,0.0
2000-03-10,57.25,61.94,54.0,61.19,30.5853,18219700,0.0
2000-03-17,61.0,65.94,57.38,61.38,30.6803,18772900,0.0
2000-03-24,61.38,64.81,59.63,62.12,31.0501,13826100,0.0
2000-03-31,62.0,64.5,59.5,62.63,31.3051,13303900,0.0
2000-04-07,64.25,69.38,64.0,64.31,32.1448,16710300,0.0
2000-04-14,64.0,70.0,63.75,67.44,33.7093,16455000,0.0
2000-04-20,67.44,76.88,67.38,75.75,37.863,20795700,0.0
2000-04-28,75.75,78.5,75.5,77.13,38.5528,17847700,0.0
2000-05-05,78.0,79.94,76.88,79.75,39.8623,14721100,0.0
2000-05-12,79.94,80.5,73.0,75.44,37.839,15475800,0.26
2000-05-19,75.38,76.94,72.88,75.94,38.0897,16243000,0.0
2000-05-26,76.25,79.63,73.69,78.81,39.5293,11777800,0.0
2000-06-02,77.88,78.0,72.31,73.13,36.6803,11483300,0.0
2000-06-09,71.63,76.5,71.25,76.19,38.2151,12511700,0.0
2000-06-16,77.0,85.25,76.75,84.94,42.6039,28192100,0.0
2000-06-23,84.13,89.44,83.88,85.31,42.7895,18605400,0.0
2000-06-30,85.31,109.0,83.88,99.88,50.0975,44975200,0.0
2000-07-07,97.94,105.0,97.5,101.0,50.6593,14332100,0.0
2000-07-14,100.9,104.4,91.56,94.5,47.399,16460400,0.0
2000-07-21,95.5,101.2,94.19,97.88,49.0943,17588600,0.0
2000-07-28,98.81,104.0,98.0,102.3,51.3113,14976000,0.0
2000-08-04,102.5,108.7,100.1,107.4,53.8694,12469400,0.0
