timestamp,open,high,low,close,adjusted close,volume,dividend amount
2006-06-02,44.97,48.7,42.85,46.99,4.2714,17949700,0.0
2006-06-09,47.05,50.63,45.5,47.91,4.355,15905700,0.0
2006-06-16,47.94,48.25,44.44,45.02,4.0923,7601300,0.0
2006-06-23,45.05,47.93,43.47,46.95,4.2678,7801400,0.0
2006-06-30,47.0,48.09,46.43,48.0,4.3632,6758100,0.0
2006-07-07,47.9,48.0,45.75,46.12,4.1923,3677200,0.0
2006-07-14,46.2,46.57,43.9,43.95,3.9951,4701700,0.0
2006-07-21,44.1,45.78,43.67,45.28,4.116,5212000,0.0
2006-07-28,45.45,47.85,44.99,46.3,4.2087,3260300,0.0
2006-08-04,46.3,51.5,44.7,50.05,4.5496,10128300,0.0
2006-08-11,50.25,54.5,50.25,53.68,4.8795,5383700,0.0
2006-08-18,53.75,55.43,52.46,53.45,4.8586,4977000,0.0
2006-08-25,53.3,55.8525,52.8,55.0,4.9995,4612300,0.0
2006-09-01,54.85,57.5,54.766,56.55,5.1404,4034200,0.0
2006-09-08,56.9,61.25,56.2501,59.75,5.4313,6203700,0.0
2006-09-15,59.75,65.2,59.6,64.97,5.9058,7873500,0.0
2006-09-22,65.74,69.6,64.3,65.93,5.9931,11333200,0.0
2006-09-29,65.25,70.45,62.2,70.35,6.3948,12873000,0.0
2006-10-06,70.35,75.85,68.4,75.15,6.8396,10897100,0.09
2006-10-13,72.25,73.25,68.28,70.09,6.3791,12576900,0.0
2006-10-20,70.0,72.9,69.27,71.22,6.4819,4590700,0.0
2006-10-27,71.35,74.0,69.0001,72.64,6.6112,7514300,0.0
2006-11-03,72.62,89.75,71.75,89.51,8.1466,29969600,0.0
2006-11-10,90.0,97.14,87.76,89.2,8.1184,32430800,0.0
2006-11-17,93.94,99.65,92.06,94.79,8.6271,27345900,0.0
2006-11-24,93.98,105.85,93.72,105.48,9.6001,14664600,0.0
2006-12-01,106.0,108.6,95.5,101.17,9.2078,26061400,0.0
2006-12-08,101.0,102.25,98.5,100.1,9.1104,10935000,0.0
2006-12-15,100.1,102.24,94.27,96.19,8.7545,13429800,0.0
2006-12-22,96.0,99.45,90.5,96.35,8.7691,13050200,0.0
2006-12-29,96.5,99.79,94.38,98.49,8.9639,6348700,0.0
2007-01-05,99.55,102.2,95.3,101.06,9.1978,8294500,0.0
2007-01-12,99.01,108.03,99.0,105.25,9.5873,14396100,0.09
2007-01-19,105.3,110.22,101.8,105.03,9.5673,13674700,0.0
2007-01-26,105.99,113.08,104.5,108.52,9.8852,11337600,0.0
2007-02-02,109.0,112.98,108.7,110.96,10.1075,6455600,0.0
2007-02-09,110.5,118.07,99.63,103.6,9.437,36126100,0.0
2007-02-16,102.0,109.12,98.61,108.32,9.867,25986600,0.0
2007-02-23,108.32,109.25,103.72,104.57,9.5254,9265000,0.0
2007-03-02,104.82,107.9,99.99,103.06,9.3879,15449500,0.0
2007-03-09,101.11,104.71,99.28,102.36,9.3241,21121900,0.0
2007-03-16,102.01,106.2,101.39,105.27,9.5892,13784100,0.0
2007-03-23,105.85,112.32,105.52,109.86,10.0073,9699000,0.0
2007-03-30,108.7,109.25,105.75,106.24,9.6775,6196600,0.0
2007-04-05,107.1,109.4,105.93,108.01,9.8525,5783300,0.15
2007-04-13,108.4,111.4,107.2,109.4,9.9793,5906300,0.0
2007-04-20,110.0,110.88,108.2,110.1,10.0432,4781800,0.0
2007-04-27,110.0,114.66,107.64,114.1,10.408,8851700,0.0
2007-05-04,114.25,135.95,111.01,134.66,12.2835,36317900,0.0
2007-05-11,134.3,143.24,132.9,138.83,12.6639,22830100,0.0
2007-05-18,138.84,139.59,133.53,138.05,12.5927,12332200,0.0
2007-05-25,137.68,143.56,136.85,139.07,12.6858,13136100,0.0
2007-06-01,142.09,153.31,141.02,151.1,13.7831,19046200,0.0
2007-06-08,149.75,151.72,135.18,143.58,13.0972,20428000,0.0
2007-06-15,144.16,158.24,140.07,157.65,14.3806,22858400,0.0
2007-06-22,159.57,169.4,158.18,168.43,15.364,27834700,0.0
2007-06-29,169.0,169.0,157.8,165.87,15.1441,16057700,0.15
2007-07-06,165.5,167.49,159.55,161.9,14.7817,7773600,0.0
2007-07-13,162.0,174.6,155.58,169.21,15.4491,19617200,0.0
2007-07-20,168.0,172.82,162.65,165.28,15.0903,14479600,0.0
2007-07-27,165.5,169.0,152.0,154.03,14.0631,14737100,0.0
2007-08-03,156.46,170.52,128.17,131.26,11.9842,32400100,0.0
2007-08-10,132.11,150.0,123.46,138.4,12.6361,28613400,0.0
2007-08-17,142.56,143.13,120.0,137.0,12.5083,22986300,0.0
2007-08-24,139.57,146.0,136.308,139.83,12.7666,12697100,0.0
2007-08-31,138.43,140.91,130.01,136.99,12.5073,14220100,0.0
2007-09-07,138.27,139.9,129.54,130.21,11.8883,7627800,0.0
2007-09-14,130.72,142.36,126.63,137.85,12.5859,11687900,0.0
2007-09-21,137.44,152.0,135.0,146.56,13.3811,15238500,0.0
2007-09-28,147.5,152.23,138.85,147.97,13.5098,20575800,0.0
2007-10-05,147.73,164.87,147.73,162.46,14.8328,16177100,0.0
2007-10-12,163.0,169.32,158.21,163.21,14.9013,13463700,0.0
2007-10-19,163.21,163.65,150.36,151.6,13.8547,10997900,0.15
2007-10-26,149.99,159.68,143.15,157.03,14.3509,24587300,0.0
2007-11-02,159.1,198.55,153.68,190.04,17.3677,39514600,0.0
2007-11-09,185.61,203.0,182.31,193.0,17.6382,26085500,0.0
2007-11-16,190.83,196.42,179.5,184.87,16.8952,14121700,0.0
2007-11-23,182.87,187.31,175.58,181.1,16.5507,7879700,0.0
