timestamp,open,high,low,close,adjusted close,volume,dividend amount
2000-01-07,68.63,75.25,64.75,74.94,28.2561,36244000,0.0
2000-01-14,74.75,76.13,71.38,74.13,27.9507,26634200,0.0
2000-01-21,73.13,74.5,70.56,72.44,27.3135,22976500,0.0
2000-01-28,73.0,78.44,69.06,76.38,28.7991,33562900,0.0
2000-02-04,75.69,79.0,74.56,75.06,28.3014,25811500,0.0
2000-02-11,74.25,75.88,64.31,65.25,24.6025,31269600,0.0
2000-02-18,65.5,67.19,61.56,62.0,23.3771,34001600,0.0
2000-02-25,62.5,66.0,59.19,60.19,22.6947,33696000,0.0
2000-03-03,60.19,63.13,57.06,57.5,21.7852,39411200,0.29
2000-03-10,57.44,61.88,52.0,59.56,22.5657,54198100,0.0
2000-03-17,56.38,65.69,55.38,62.75,23.7743,48840000,0.0
2000-03-24,61.63,64.94,60.31,61.75,23.3954,28060000,0.0
2000-03-31,60.88,65.94,59.75,62.13,23.5394,32183900,0.0
2000-04-07,62.38,69.75,62.38,65.5,24.8162,35473000,0.0
2000-04-14,65.06,68.25,62.56,63.56,24.0811,27284100,0.0
2000-04-20,63.75,70.25,61.88,69.75,26.4264,25580500,0.0
2000-04-28,69.88,72.81,67.56,69.5,26.3316,32438600,0.0
2000-05-05,69.5,70.06,66.75,69.25,26.2369,20716800,0.0
2000-05-12,69.94,70.5,66.75,68.13,25.8126,19274400,0.0
2000-05-19,68.25,72.94,67.5,72.44,27.4455,21575100,0.0
2000-05-26,72.0,75.38,71.69,74.56,28.2487,26194800,0.0
2000-06-02,74.13,75.19,68.81,68.94,26.2214,17240400,0.29
2000-06-09,69.0,71.5,68.69,69.88,26.5789,15522000,0.0
2000-06-16,70.13,74.31,69.81,71.0,27.0049,26786900,0.0
2000-06-23,71.5,72.75,70.31,72.63,27.6249,18840300,0.0
2000-06-30,73.25,76.73,72.94,76.63,29.1463,26703500,0.0
2000-07-07,76.06,77.38,73.94,74.38,28.2905,16102600,0.0
2000-07-14,74.25,75.88,66.5,67.25,25.5786,28341600,0.0
2000-07-21,67.0,68.5,63.0,63.75,24.2474,36849100,0.0
2000-07-28,66.75,73.13,66.5,72.78,27.682,38577000,0.0
2000-08-04,72.06,75.44,70.31,73.81,28.0737,20330000,0.0
2000-08-11,73.75,73.75,70.0,72.41,27.5412,21265000,0.0
2000-08-18,72.38,74.38,71.5,72.0,27.3853,14265900,0.0
2000-08-25,71.38,73.31,71.31,72.94,27.7428,13378300,0.0
2000-09-01,72.88,73.69,69.06,69.19,26.4423,17731900,0.34
2000-09-08,67.0,68.5,65.0,67.52,25.8041,20536800,0.0
2000-09-15,67.5,69.0,66.63,67.19,25.678,17472700,0.0
2000-09-22,67.19,73.38,66.88,73.19,27.971,20106600,0.0
2000-09-29,72.63,74.88,70.19,74.44,28.4487,23173200,0.0
2000-10-06,74.31,76.25,72.88,76.06,29.0678,23421300,0.0
2000-10-13,76.25,77.81,74.44,76.19,29.1175,27616600,0.0
2000-10-20,75.5,82.0,75.31,81.88,31.292,32283900,0.0
2000-10-27,83.25,88.0,82.88,88.0,33.6309,42441500,0.0
2000-11-03,87.63,90.94,86.31,87.88,33.585,40320600,0.0
2000-11-10,86.75,92.75,86.75,91.5,34.9685,41646000,0.0
2000-11-17,90.25,92.38,87.38,88.5,33.822,34239300,0.0
2000-11-24,88.06,92.19,88.0,89.44,34.1812,20309400,0.0
2000-12-01,89.81,96.69,89.06,90.63,34.636,35517000,0.0
2000-12-08,88.5,92.94,88.44,89.56,34.357,30805100,0.34
2000-12-15,90.0,92.25,89.81,90.38,34.6716,32552300,0.0
2000-12-22,90.0,95.13,88.13,90.5,34.7176,31927600,0.0
2000-12-29,90.88,95.94,90.44,93.63,35.9184,15533300,0.0
2001-01-05,93.38,95.25,83.13,83.31,31.9594,43555300,0.0
2001-01-12,84.0,85.0,80.88,81.44,31.242,28876100,0.0
2001-01-19,81.38,84.44,80.5,82.44,31.6256,22531500,0.0
2001-01-26,83.63,84.0,78.56,82.25,31.5528,36834700,0.0
2001-02-02,82.3,89.79,79.8,83.97,32.2126,23011100,0.0
2001-02-09,83.97,85.55,79.76,82.72,31.7331,28322600,0.0
2001-02-16,82.97,83.28,76.4,77.29,29.65,26970400,0.0
2001-02-23,77.31,79.6,76.6,77.08,29.5694,18928900,0.0
2001-03-02,77.1,81.42,76.7,80.15,30.7472,22708700,0.0
2001-03-09,79.5,79.9,73.0,75.69,29.1689,29587900,0.34
2001-03-16,75.5,75.73,70.69,71.45,27.5349,36418000,0.0
2001-03-23,71.4,72.9,66.0,68.98,26.583,31735700,0.0
2001-03-30,70.0,76.65,69.55,75.9,29.2498,25876800,0.0
2001-04-06,75.4,76.54,72.05,76.42,29.4502,25894500,0.0
2001-04-12,77.05,79.7,76.4,79.5,30.6372,19970100,0.0
2001-04-20,79.5,80.85,72.0,73.61,28.3673,38450600,0.0
2001-04-27,74.45,75.95,73.05,75.65,29.1535,23739100,0.0
2001-05-04,76.44,76.87,74.25,76.37,29.431,20393800,0.0
2001-05-11,76.29,77.75,75.05,75.94,29.2652,17766800,0.0
2001-05-18,75.94,79.16,74.53,77.4,29.8279,22503000,0.0
2001-05-25,77.65,78.05,71.76,72.6,27.9781,30674300,0.0
2001-06-01,73.45,74.64,72.0,74.2,28.7279,18095300,0.34
2001-06-08,73.9,75.49,73.4,74.22,28.7356,15822000,0.0
2001-06-15,73.5,74.54,71.1,73.75,28.5537,27114500,0.0
2001-06-22,73.18,75.85,67.69,67.8,26.25,34872200,0.0
2001-06-29,68.25,68.63,63.65,63.91,24.7439,39497100,0.0
2001-07-06,64.05,65.28,63.43,63.44,24.562,21017100,0.0
2001-07-13,64.0,64.8,60.35,61.5,23.8109,41538400,0.0
2001-07-20,62.05,67.79,61.5,66.43,25.7196,40578000,0.0
2001-07-27,66.45,67.0,64.28,65.14,25.2201,23697800,0.0
2001-08-03,65.14,69.0,64.8,68.11,26.37,22210500,0.0
2001-08-10,68.11,69.44,67.11,69.03,26.7262,19534100,0.0
2001-08-17,69.48,70.77,68.4,69.15,26.7727,20319700,0.0
2001-08-24,69.35,71.5,67.7,69.02,26.7224,30163100,0.0
2001-08-31,68.8,69.42,64.76,65.1,25.3383,17733600,0.35
2001-09-07,65.2,67.9,64.15,64.3,25.027,22578600,0.0
2001-09-10,64.0,66.5,63.51,66.1,25.7276,5481000,0.0
2001-09-21,67.95,69.24,63.79,65.7,25.5719,46344900,0.0
2001-09-28,65.7,67.88,60.85,66.6,25.9222,43465000,0.0
2001-10-05,66.85,68.47,66.28,68.26,26.5683,28282300,0.0
2001-10-12,69.0,69.28,67.14,69.16,26.9186,21184600,0.0
2001-10-19,68.8,70.6,64.75,65.38,25.4473,27648900,0.0
2001-10-26,65.39,68.2,65.28,65.8,25.6108,22357400,0.0
2001-11-02,65.5,66.07,63.42,65.03,25.3111,20909900,0.0
2001-11-09,65.53,66.21,64.11,64.61,25.1476,20002200,0.0
2001-11-16,64.1,65.55,63.5,64.9,25.2605,25670200,0.0
2001-11-23,64.5,66.13,63.75,65.93,25.6614,19160900,0.0
2001-11-30,65.85,68.13,65.25,67.75,26.3698,26111800,0.0
2001-12-07,68.5,68.57,65.5,67.0,26.2157,27092900,0.35
2001-12-14,66.65,67.9,57.49,58.09,22.7294,82043300,0.0
2001-12-21,58.58,60.23,56.8,59.63,23.3319,46082900,0.0
2001-12-28,59.7,60.4,58.85,59.52,23.2889,16227200,0.0
2002-01-04,59.55,59.85,57.95,58.89,23.0424,27123000,0.0
2002-01-11,58.44,59.85,58.03,58.98,23.0776,30116900,0.0
2002-01-18,59.1,59.87,57.52,58.0,22.6941,27008800,0.0
2002-01-25,58.44,59.88,56.8,56.96,22.2872,25953800,0.0
2002-02-01,57.3,59.6,56.71,59.43,23.2537,37581000,0.0
2002-02-08,59.43,59.99,57.7,59.15,23.1441,22141400,0.0
2002-02-15,59.16,60.69,58.65,59.81,23.4024,28682500,0.0
2002-02-22,59.13,62.1,58.9,61.5,24.0636,24368300,0.0
2002-03-01,61.14,62.98,60.26,62.98,24.6427,27697900,0.0
2002-03-08,62.74,63.49,61.69,62.5,24.5915,25288300,0.35
2002-03-15,62.63,64.5,59.54,59.75,23.5095,45458700,0.0
