timestamp,open,high,low,close,adjusted close,volume,dividend amount
2000-01-07,53.12,61.5,52.62,61.31,5.9824,6431500,0.0
2000-01-14,61.81,62.81,58.69,61.62,6.0126,5247100,0.0
2000-01-21,60.25,61.0,57.75,58.38,5.6965,4322900,0.0
2000-01-28,57.38,58.06,52.25,52.62,5.1344,6065600,0.0
2000-02-04,52.62,56.81,52.56,56.75,5.5374,4544300,0.0
2000-02-11,56.0,60.44,53.75,56.0,5.4642,8406600,0.0
2000-02-18,56.62,64.69,56.38,57.88,5.6477,8520500,0.0
2000-02-25,58.0,59.62,50.56,51.25,5.0008,4788200,0.0
2000-03-03,51.0,55.38,49.81,54.44,5.312,5017800,0.0
2000-03-10,54.31,54.31,46.38,50.88,4.9646,4559300,0.0
2000-03-17,49.0,54.0,49.0,51.62,5.0369,5492900,0.0
2000-03-24,51.88,57.56,51.69,57.44,5.6047,3778200,0.0
2000-03-31,56.81,59.69,54.5,59.62,5.8205,3041300,0.03
2000-04-07,59.38,62.5,57.75,61.75,6.0285,3958700,0.0
2000-04-14,62.62,68.88,61.88,63.94,6.2423,5872900,0.0
2000-04-20,63.38,68.31,61.75,67.12,6.5527,3054200,0.0
2000-04-28,67.5,69.75,66.19,66.69,6.5107,4986900,0.0
2000-05-05,66.06,66.5,60.25,63.06,6.1563,7845300,0.0
2000-05-12,63.06,71.69,62.62,71.38,6.9686,6560700,0.0
2000-05-19,72.0,78.56,72.0,76.38,7.4567,7213600,0.0
2000-05-26,76.88,79.25,74.56,75.88,7.4079,7777000,0.0
2000-06-02,76.62,78.44,74.12,74.88,7.3103,3927300,0.0
2000-06-09,74.88,77.75,72.5,76.94,7.5114,4103900,0.0
2000-06-16,76.94,83.31,76.0,80.75,7.8834,7300900,0.0
2000-06-23,81.56,82.88,79.38,79.88,7.7984,4077800,0.0
2000-06-30,80.0,89.0,77.88,85.75,8.3715,6753200,0.0
2000-07-07,85.44,91.94,85.31,89.75,8.762,4626700,0.0
2000-07-14,89.0,90.31,83.25,84.5,8.2495,6099700,0.0
2000-07-21,84.5,87.56,81.62,85.0,8.2983,5025000,0.0
2000-07-28,84.5,85.06,78.12,81.19,7.9263,5539400,0.0
2000-08-04,81.56,88.0,81.19,87.69,8.5609,5068700,0.0
2000-08-11,88.25,92.5,85.5,92.25,9.0061,4447100,0.0
2000-08-18,92.5,94.62,90.25,91.38,8.9211,3784200,0.0
2000-08-25,91.38,94.12,89.25,89.75,8.762,3485700,0.0
2000-09-01,90.0,95.88,89.75,93.94,9.1711,3006300,0.0
2000-09-08,94.0,94.88,90.38,90.5,8.8352,2518100,0.0
2000-09-15,90.5,96.31,89.69,92.69,9.049,4603600,0.0
2000-09-22,92.62,98.25,91.06,97.81,9.5489,5099600,0.0
2000-09-29,98.0,101.12,95.62,98.75,9.6406,5004500,0.0
