timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-10-15,352.7700,359.4000,339.6532,351.3300,351.3300,91980798,0.0000
2025-10-10,335.9200,350.6000,324.0500,324.6300,324.6300,104615533,0.0000
2025-10-03,336.0000,347.6100,324.5000,338.3700,338.3700,97234837,0.0000
2025-09-26,342.4250,346.6700,327.3000,334.5300,334.5300,107424297,0.5900
2025-09-19,359.8700,365.6900,336.4300,344.9400,344.3403,154199788,0.0000
2025-09-12,342.7500,374.2300,335.8300,359.8700,359.2444,182975522,0.0000
2025-09-05,289.3400,356.3400,287.1700,334.8900,334.3078,147745164,0.0000
2025-08-29,292.8100,311.0000,291.7100,297.3900,296.8730,95161894,0.0000
2025-08-22,302.7000,306.1700,281.8700,294.0000,293.4889,89722399,0.0000
2025-08-15,305.0500,317.3500,299.7600,306.3400,305.8074,85916129,0.0000
2025-08-08,292.2000,310.3400,291.4000,304.9700,304.4398,81812388,0.0000
2025-08-01,292.4600,306.9490,281.6100,288.6400,288.1382,96549690,0.0000
2025-07-25,283.9550,292.5943,273.0000,290.1800,289.6755,83737898,0.0000
2025-07-18,274.1300,288.2800,269.5800,283.3400,282.8474,77127118,0.0000
2025-07-11,275.1300,281.1800,271.1545,274.3800,273.9030,83929299,0.0000
2025-07-03,274.7300,277.7050,262.6555,275.1800,274.7016,81730803,0.0000
2025-06-27,249.1050,271.8500,246.4600,269.3500,268.8817,122453221,0.0000
2025-06-20,250.3500,255.6400,244.1700,249.9900,249.5554,114947716,0.5900
2025-06-13,245.0450,257.8900,241.1100,248.7000,247.6831,114863695,0.0000
2025-06-06,243.2500,265.4300,243.1900,246.9300,245.9203,164594036,0.0000
2025-05-30,232.8650,246.0700,231.1308,242.0700,241.0802,86241262,0.0000
2025-05-23,221.8500,236.5000,221.6000,228.7200,227.7848,74511409,0.0000
2025-05-16,219.4900,235.2800,215.8800,228.6100,227.6752,115877937,0.0000
2025-05-09,200.2500,211.1625,195.9400,208.2000,207.3487,82402159,0.0000
2025-05-02,190.5300,205.6800,184.0200,203.6400,202.8073,96491169,0.0000
2025-04-25,166.9900,193.3700,161.6100,192.3100,191.5237,115174366,0.0000
2025-04-17,185.0750,186.0000,166.9200,170.9900,170.2908,100131075,0.0000
2025-04-11,144.4900,187.3300,138.1000,181.9400,181.1961,285276400,0.0000
2025-04-04,164.4850,173.4300,139.1701,146.2900,145.6918,192309643,0.0000
2025-03-28,194.2950,196.6900,166.4700,169.1200,168.4285,149811212,0.0000
2025-03-21,188.0500,198.2700,186.9000,191.6600,190.8763,164260886,0.5900
2025-03-14,189.6000,199.9800,180.4300,195.5400,194.1393,169544141,0.0000
2025-03-07,204.0000,204.0600,177.6100,194.9600,193.5635,232383574,0.0000
2025-02-28,218.6000,219.4800,193.1500,199.4300,198.0014,154839676,0.0000
2025-02-21,230.1000,232.2000,215.6300,218.6600,217.0937,83443586,0.0000
2025-02-14,227.4300,237.8900,227.1200,233.0400,231.3707,96725987,0.0000
2025-02-07,215.4600,237.9299,213.5100,224.8700,223.2592,120813370,0.0000
2025-01-31,213.4000,226.8000,196.2300,221.2700,219.6850,257019551,0.0000
2025-01-24,241.5000,249.5900,236.1200,244.7000,242.9472,103555454,0.0000
2025-01-17,219.9900,238.6000,219.5100,237.4400,235.7392,118329344,0.0000
2025-01-10,236.5000,241.7500,221.2500,224.3100,222.7032,102577475,0.0000
2025-01-03,234.6950,239.5000,229.0000,232.5500,230.8842,101743538,0.0000
2024-12-27,226.6900,247.2800,225.1300,241.7500,240.0183,121290736,0.5900
2024-12-20,231.7900,251.8800,217.5800,220.7900,218.6532,408720924,0.0000
2024-12-13,178.9500,228.7000,169.7300,224.8000,222.6244,258247914,0.0000
2024-12-06,162.9500,180.6800,162.7500,179.5300,177.7925,117565943,0.0000
2024-11-29,165.3950,167.2250,157.5400,162.0800,160.5114,73906091,0.0000
2024-11-22,165.6600,166.8000,160.6000,164.2300,162.6406,95238183,0.0000
2024-11-15,183.4000,183.6300,163.4300,164.8400,163.2447,91846169,0.0000
2024-11-08,169.2800,185.0500,168.4200,183.6400,181.8628,83837555,0.0000
2024-11-01,173.0000,180.2300,167.3800,168.9200,167.2852,98743286,0.0000
2024-10-25,179.3800,181.7199,169.5000,173.0000,171.3257,85734363,0.0000
2024-10-18,183.3000,185.5100,173.3652,179.8900,178.1490,103206081,0.0000
2024-10-11,174.8200,186.4200,173.8600,181.4800,179.7237,101254572,0.0000
2024-10-04,171.8700,176.8998,165.8000,176.6400,174.9305,86001951,0.0000
2024-09-27,172.0000,180.2500,168.3501,172.6900,171.0187,125189213,0.0000
2024-09-20,165.1900,172.0200,160.4100,171.1000,169.4441,196740401,0.5300
2024-09-13,139.1100,168.0800,134.9000,167.6900,165.5431,188716895,0.0000
2024-09-06,160.3800,160.7400,136.6000,136.9950,135.2410,165461896,0.0000
2024-08-30,164.9600,165.7000,155.4100,162.8200,160.7354,101945677,0.0000
2024-08-23,164.8600,172.4200,160.4200,166.3600,164.2301,104849432,0.0000
2024-08-16,148.0800,166.6700,146.3700,165.7200,163.5983,107258112,0.0000
2024-08-09,129.6100,150.1000,128.5000,148.2600,146.3618,141832156,0.0000
2024-08-02,152.0200,161.3300,139.6000,143.8200,141.9787,167621412,0.0000
2024-07-26,160.2300,165.3300,145.5200,151.6300,149.6887,139258129,0.0000
2024-07-19,170.0000,173.5099,153.9000,157.3500,155.3354,152739676,0.0000
2024-07-12,1705.0000,1770.9800,1668.5000,1700.6700,167.8896,19695355,0.0000
2024-07-05,1608.2000,1765.4700,1593.5000,1703.3100,168.1502,16535658,0.0000
2024-06-28,1642.0500,1661.0000,1564.0000,1605.5300,158.4974,26289027,5.2500
2024-06-21,1800.0000,1851.6200,1651.4200,1658.6300,163.2013,34247959,0.0000
2024-06-14,1409.8000,1747.2400,1409.1250,1735.0400,170.7197,28138876,0.0000
2024-06-07,1352.7000,1425.0000,1302.5300,1406.6400,138.4067,12030401,0.0000
2024-05-31,1410.0000,1417.1813,1307.2600,1328.5500,130.7230,14459901,0.0000
2024-05-24,1396.0000,1429.0000,1378.0000,1407.8400,138.5248,11127353,0.0000
2024-05-17,1348.0000,1445.4000,1325.8000,1395.2900,137.2899,11725340,0.0000
2024-05-10,1286.2250,1344.0000,1275.0700,1332.8000,131.1412,7108663,0.0000
2024-05-03,1344.0800,1352.9800,1223.3100,1278.1100,125.7600,12082021,0.0000
2024-04-26,1224.5000,1355.8300,1200.5400,1344.0700,132.2501,12180474,0.0000
2024-04-19,1370.0000,1370.0000,1197.5600,1204.7100,118.5377,13769560,0.0000
2024-04-12,1333.6500,1391.8700,1308.6400,1344.0700,132.2501,11205931,0.0000
2024-04-05,1325.6800,1403.9800,1303.4138,1339.4300,131.7936,11675613,0.0000
2024-03-28,1345.0300,1379.9377,1296.0200,1325.4100,130.4141,9019695,0.0000
2024-03-22,1253.9800,1403.6100,1204.0200,1353.4700,133.1750,20226576,5.2500
2024-03-15,1277.9300,1307.7900,1230.0700,1235.5000,121.0692,23326714,0.0000
2024-03-08,1403.1500,1438.1700,1301.5800,1308.7200,128.2442,25094643,0.0000
