timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-10-15,929.0000,964.0000,923.0000,954.9900,954.9900,6105343,0.0000
2025-10-10,915.5000,945.4500,903.8800,930.0100,930.0100,14368163,0.0000
2025-10-03,916.3400,930.5050,903.2900,915.3800,915.3800,14228813,0.0000
2025-09-26,947.3750,953.6599,905.0501,915.9500,915.9500,16007049,0.0000
2025-09-19,967.8200,969.7400,943.7900,951.1600,951.1600,12235763,0.0000
2025-09-12,963.7300,981.0000,953.9600,967.9000,967.9000,8505046,0.0000
2025-09-05,938.6600,969.5500,936.5000,963.4800,963.4800,6850589,0.0000
2025-08-29,954.9600,958.3047,933.2450,943.3200,943.3200,12195963,0.0000
2025-08-22,973.3000,999.3000,953.1100,958.5400,958.5400,11263064,0.0000
2025-08-15,983.1600,991.7500,967.2150,972.0400,972.0400,9679170,0.0000
2025-08-08,952.6000,988.2000,935.6800,980.9800,980.9800,11688163,0.0000
2025-08-01,935.5000,956.7200,925.0000,952.5200,952.5200,11270598,1.3000
2025-07-25,951.5100,957.7000,933.4900,935.4800,934.2050,9828677,0.0000
2025-07-18,971.1000,981.4900,947.5100,950.9500,949.6539,10903759,0.0000
2025-07-11,985.0000,995.8700,965.7000,970.3300,969.0075,11317076,0.0000
2025-07-03,985.1600,996.8390,974.5000,987.0200,985.6748,7035640,0.0000
2025-06-27,983.1500,1005.8350,976.5000,985.1400,983.7973,10687701,0.0000
2025-06-20,992.3300,1001.8500,973.9000,980.2900,978.9539,8542875,0.0000
2025-06-13,1012.4200,1013.3500,988.6738,990.2100,988.8604,9917667,0.0000
2025-06-06,1034.2700,1067.0800,1006.0100,1014.9400,1013.5567,10715892,0.0000
2025-05-30,1015.0000,1052.4900,1002.0000,1040.1800,1038.7623,10970564,0.0000
2025-05-23,1018.6000,1039.4699,1007.0000,1008.5000,1007.1255,8664730,0.0000
2025-05-16,1009.7900,1028.2620,983.0000,1025.8300,1024.4319,11705505,0.0000
2025-05-09,1007.5050,1017.7800,991.4000,1008.0900,1006.7160,7709723,0.0000
2025-05-02,978.5000,1018.0000,968.7752,1008.3000,1006.9257,8729247,1.3000
2025-04-25,993.0000,996.9900,942.9700,977.1600,974.5717,11430958,0.0000
2025-04-17,970.0000,999.9183,959.2400,994.5000,991.8657,9250933,0.0000
2025-04-11,887.7500,993.4105,871.7050,963.4100,960.8581,20187385,0.0000
2025-04-04,922.3600,995.0000,914.1400,916.4800,914.0524,15127272,0.0000
2025-03-28,920.0000,942.9037,920.0000,929.6600,927.1975,9125373,0.0000
2025-03-21,901.6300,923.3899,883.9600,909.2600,906.8515,11685958,0.0000
2025-03-14,955.4700,959.6600,881.5600,903.9200,901.5257,16614801,0.0000
2025-03-07,1051.7400,1066.0000,942.7800,964.3100,961.7557,14963128,0.0000
2025-02-28,1028.5400,1058.8900,1018.8272,1048.6100,1045.8324,10335426,0.0000
2025-02-21,1069.2100,1071.0000,1024.6801,1035.0300,1032.2884,7257076,0.0000
2025-02-14,1052.0000,1078.2350,1046.0000,1071.8500,1069.0109,8481723,0.0000
2025-02-07,972.3850,1063.0000,968.9400,1043.8100,1041.0451,10653616,1.1600
2025-01-31,930.0000,991.0000,927.1801,979.8800,976.1996,10588699,0.0000
2025-01-24,945.2500,956.5500,933.5550,939.6800,936.1506,7112296,0.0000
2025-01-17,934.0000,943.8000,909.9180,943.1900,939.6474,8944875,0.0000
2025-01-10,917.9800,944.2800,913.2700,936.9400,933.4209,8398947,0.0000
2025-01-03,931.0000,934.1700,902.0000,916.5800,913.1374,7006049,0.0000
