timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-10-15,379.0700,394.3700,377.1900,388.3000,388.3000,11016056,0.0000
2025-10-10,394.5000,394.5000,374.7795,375.7500,375.7500,14990853,0.0000
2025-10-03,410.0500,410.9450,392.6300,395.0600,395.0600,15924161,0.0000
2025-09-26,414.1100,414.8800,405.0100,410.0900,410.0900,13345430,0.0000
2025-09-19,422.4700,426.7500,415.1000,415.6900,415.6900,23779008,0.0000
2025-09-12,418.5000,425.2199,411.7350,422.6900,422.6900,20477043,0.0000
2025-09-05,403.6800,420.4000,402.7500,418.9500,418.9500,16024017,2.3000
2025-08-29,410.3600,411.6900,404.7069,406.7700,404.5101,15510600,0.0000
2025-08-22,396.5700,414.5000,392.5100,412.7900,410.4967,24459312,0.0000
2025-08-15,389.9800,407.8200,383.2975,399.3800,397.1612,18146766,0.0000
2025-08-08,374.8400,391.4500,373.6900,387.8500,385.6952,13348913,0.0000
2025-08-01,373.7400,381.0800,365.7500,373.6600,371.5841,16204798,0.0000
2025-07-25,360.7200,377.8800,359.8400,375.3400,373.2547,15146685,0.0000
2025-07-18,370.4750,371.2900,352.4600,359.4000,357.4033,17101031,0.0000
2025-07-11,371.0000,377.9448,364.7262,370.0700,368.0140,16121392,0.0000
2025-07-03,369.2800,379.6900,362.9500,371.6800,369.6151,15339071,0.0000
2025-06-27,349.9700,370.1532,348.5200,368.7400,366.6914,20803611,0.0000
2025-06-20,355.8800,357.1050,345.8000,349.6200,347.6776,20429425,0.0000
2025-06-13,367.3200,369.1400,352.8000,354.6600,352.6896,15714548,0.0000
2025-06-06,365.1500,375.3700,361.8350,367.3300,365.2892,12970543,2.3000
2025-05-30,365.8900,371.1500,364.0600,368.2900,363.9769,14130268,0.0000
2025-05-23,374.1900,389.7500,361.1500,362.7100,358.4623,20754238,0.0000
2025-05-16,375.0000,381.1700,370.8255,380.7800,376.3207,15105914,0.0000
2025-05-09,362.1300,369.3100,357.1300,362.7100,358.4623,12527372,0.0000
2025-05-02,357.9900,366.2299,352.3800,364.5200,360.2511,14484829,0.0000
2025-04-25,354.2900,364.8400,341.8000,357.5800,353.3924,15661669,0.0000
2025-04-17,357.8000,361.4446,344.3200,355.0600,350.9019,11595184,0.0000
2025-04-11,344.3000,356.0400,326.3100,353.8600,349.7159,27762699,0.0000
2025-04-04,353.4950,372.3099,349.0400,353.9000,349.7554,23428586,0.0000
2025-03-28,354.6200,365.2100,354.2800,358.1500,353.9557,15981342,0.0000
2025-03-21,351.7600,361.7665,346.2750,351.1500,347.0377,21276524,0.0000
2025-03-14,377.4400,383.1200,345.2600,351.3100,347.1958,23657058,2.3000
2025-03-07,396.9500,397.0700,368.9000,376.8000,369.9370,19358943,0.0000
2025-02-28,386.0900,401.0100,378.2000,396.6000,389.3764,23506544,0.0000
2025-02-21,408.3100,408.8700,383.9000,385.3000,378.2822,15764541,0.0000
2025-02-14,410.6400,417.9999,402.1200,409.5000,402.0414,13519426,0.0000
2025-02-07,406.1200,417.7900,401.0100,407.3700,399.9502,11813504,0.0000
2025-01-31,414.9000,426.1859,410.3200,411.9800,404.4762,14746153,0.0000
2025-01-24,413.0000,420.2200,408.7500,414.5000,406.9503,13359831,0.0000
2025-01-17,389.9900,414.4500,387.7000,409.3800,401.9236,17037777,0.0000
2025-01-10,390.5000,393.9900,380.1000,389.8900,382.7886,13720874,0.0000
2025-01-03,390.5300,392.6700,385.6800,389.1800,382.0915,9275261,0.0000
2024-12-27,391.1000,396.1400,387.0300,392.8600,385.7045,7090535,0.0000
2024-12-20,417.8500,418.4800,383.0500,392.6000,385.4492,23454473,0.0000
2024-12-13,432.3500,436.3600,413.1800,416.9800,409.3852,17315524,0.0000
2024-12-06,429.0000,435.7500,423.1550,431.3700,423.5131,12985435,0.0000
2024-11-29,425.0000,439.3700,424.4600,429.1300,421.3139,11624997,2.2500
2024-11-22,405.5000,420.1400,399.3600,420.0000,410.1897,20021013,0.0000
2024-11-15,407.7700,416.0200,402.1900,408.1800,398.6458,19389346,0.0000
2024-11-08,391.9500,406.4000,381.7200,405.9000,396.4190,20092502,0.0000
2024-11-01,403.4500,405.8399,389.0500,392.5900,383.4199,15001428,0.0000
2024-10-25,416.0700,416.5550,396.2100,398.9100,389.5923,15837095,0.0000
2024-10-18,411.4800,421.5600,411.3040,415.0000,405.3065,12661296,0.0000
2024-10-11,404.8900,420.0300,401.2400,411.9000,402.2789,16347724,0.0000
2024-10-04,400.2000,412.9700,399.0200,408.3600,398.8216,17662105,0.0000
2024-09-27,390.8300,403.5437,387.2600,399.5300,390.1978,14649440,0.0000
2024-09-20,382.0000,392.6700,379.5300,389.8600,380.7537,19712830,0.0000
2024-09-13,362.7600,382.0000,360.0300,379.9900,371.1142,13355679,0.0000
2024-09-06,367.9000,369.3800,357.5800,360.0500,351.6400,11823868,0.0000
2024-08-30,377.0800,378.5821,364.8772,368.5000,359.8926,12366024,2.2500
