timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-10-15,516.4100,517.1900,506.0000,513.4300,513.4300,43663192,0.0000
2025-10-10,518.6100,531.0300,509.6300,510.9600,510.9600,91844678,0.0000
2025-10-03,511.5000,521.6000,508.8800,517.3500,517.3500,96313547,0.0000
2025-09-26,515.5900,517.7400,505.0400,511.4600,511.4600,85342202,0.0000
2025-09-19,508.7900,519.3000,505.9300,517.9300,517.9300,124060082,0.0000
2025-09-12,498.1050,512.5500,495.0300,509.9000,509.9000,95299865,0.0000
2025-09-05,500.4650,511.9700,492.3700,495.0000,495.0000,81627481,0.0000
2025-08-29,506.6300,511.0900,498.5100,506.6900,506.6900,108729343,0.0000
2025-08-22,521.5850,522.8200,502.4100,507.2300,507.2300,115732039,0.8300
2025-08-15,522.3000,532.7000,519.0800,520.1700,519.3152,103984799,0.0000
2025-08-08,528.2700,538.2500,517.5511,522.0400,521.1821,97486428,0.0000
2025-08-01,514.0800,555.4500,509.4350,524.1100,523.2487,137752650,0.0000
2025-07-25,506.7050,518.2900,500.7000,513.7100,512.8658,79564733,0.0000
2025-07-18,501.5150,514.6400,501.0300,510.0500,509.2118,80853219,0.0000
2025-07-11,497.3800,506.7800,494.1100,503.3200,502.4929,77445981,0.0000
2025-07-03,497.0400,500.7600,488.7000,498.8400,498.0202,78618836,0.0000
2025-06-27,478.2100,499.3000,472.5100,495.9400,495.1250,120782782,0.0000
2025-06-20,475.2100,483.4600,474.0800,477.4000,476.6155,86142890,0.0000
2025-06-13,469.7000,480.4150,466.9600,474.9600,474.1795,84010090,0.0000
2025-06-06,457.1400,473.3350,456.8900,470.3800,469.6070,81973027,0.0000
2025-05-30,456.4800,462.5200,455.3105,460.3600,459.6035,86813240,0.0000
2025-05-23,450.8750,460.2500,448.9100,450.1800,449.4402,90904344,0.0000
2025-05-16,445.9400,456.1900,439.7800,454.2700,453.5235,112185654,0.8300
2025-05-09,432.8700,443.6700,431.1103,438.7300,437.2082,97363061,0.0000
2025-05-02,391.9550,439.4400,384.4400,435.2800,433.7701,157710015,0.0000
2025-04-25,362.8150,392.1600,355.6700,391.8500,390.4908,102043252,0.0000
2025-04-17,393.2200,394.6500,366.8900,367.7800,366.5043,79539080,0.0000
2025-04-11,350.8800,393.2250,344.7900,388.4500,387.1026,198357200,0.0000
2025-04-04,372.5350,385.0800,359.4800,359.8400,358.5918,150374585,0.0000
2025-03-28,395.4000,396.3600,376.9300,378.8000,377.4861,88311199,0.0000
2025-03-21,386.7000,392.7050,381.1000,391.2600,389.9028,119293124,0.0000
2025-03-14,385.8400,390.2300,376.9100,388.5600,387.2122,127629375,0.0000
2025-03-07,398.8200,402.1500,381.0000,393.3100,391.9457,121122493,0.0000
2025-02-28,408.5100,409.3700,386.5700,396.9900,395.6130,129423076,0.0000
2025-02-21,408.0000,419.3100,406.5000,408.2100,406.7940,96570775,0.8300
2025-02-14,413.7100,415.4624,404.3673,408.4300,406.2031,104730440,0.0000
2025-02-07,411.6000,418.6500,408.1000,409.7500,407.5159,101744032,0.0000
2025-01-31,424.0100,448.3800,413.1600,415.0600,412.7969,171530526,0.0000
2025-01-24,430.2000,447.2700,425.5950,444.0600,441.6388,87828237,0.0000
2025-01-17,415.2350,434.4800,410.7200,429.0300,426.6908,95676004,0.0000
2025-01-10,428.0000,434.3200,415.0200,418.9500,416.6657,73968420,0.0000
2025-01-03,426.0600,427.5500,414.8500,423.3500,421.0417,59964624,0.0000
2024-12-27,436.7400,440.9400,426.3500,430.5300,428.1826,52634702,0.0000
2024-12-20,447.2700,455.2900,428.6300,436.6000,434.2195,158004248,0.0000
2024-12-13,442.6000,456.1648,440.5000,447.2700,444.8313,97826667,0.0000
2024-12-06,421.5700,446.1000,421.3100,443.5700,441.1515,105037416,0.0000
2024-11-29,418.3800,429.0414,414.8500,423.4600,421.1511,85754344,0.0000
2024-11-22,414.8700,419.7800,410.2887,417.0000,414.7264,107661985,0.8300
2024-11-15,422.5150,429.3250,413.6400,415.0000,411.9092,123901235,0.0000
2024-11-08,409.8000,426.8500,405.5713,422.5400,419.3930,100773335,0.0000
2024-11-01,431.6550,438.5000,406.3000,410.3700,407.3137,140477096,0.0000
2024-10-25,416.1200,432.5200,413.7501,428.1500,424.9613,89823386,0.0000
2024-10-18,417.7700,424.0400,410.4800,418.1600,415.0457,83027540,0.0000
2024-10-11,416.0000,420.3800,408.1700,416.3200,413.2194,83116599,0.0000
2024-10-04,428.2100,430.4200,414.2900,416.0600,412.9613,85407142,0.0000
2024-09-27,434.2800,436.4600,426.1000,428.0200,424.8322,74929184,0.0000
2024-09-20,430.6000,441.8500,428.2200,435.2700,432.0282,128480635,0.0000
2024-09-13,407.2400,431.8300,402.1500,430.5900,427.3831,87449658,0.0000
2024-09-06,417.9100,419.8800,400.8000,401.7000,398.7082,69005355,0.0000
2024-08-30,416.3650,422.0500,407.3100,417.1400,414.0333,82881966,0.0000
2024-08-23,418.9600,426.7899,412.0900,416.7900,413.6859,85544521,0.0000
2024-08-16,407.0600,421.3400,404.2434,418.4700,415.3533,97971871,0.7500
2024-08-09,389.1700,410.0800,385.5800,406.0200,402.2795,125786365,0.0000
2024-08-02,431.5800,432.1500,404.3400,408.4900,404.7267,150439080,0.0000
2024-07-26,441.7900,448.3900,417.2700,425.2700,421.3521,109249239,0.0000
2024-07-19,453.3000,457.2600,432.0000,437.1100,433.0831,95094386,0.0000
2024-07-12,466.5500,467.7000,450.6450,453.5500,449.3716,87822377,0.0000
2024-07-05,448.6600,468.3500,445.6600,467.5600,463.2525,57575717,0.0000
2024-06-28,449.8000,456.1700,446.4100,446.9500,442.8324,92336873,0.0000
2024-06-21,442.5850,450.9400,440.7200,449.7800,445.6363,92266084,0.0000
2024-06-14,424.7000,443.4000,423.8900,442.5700,438.4928,80462918,0.0000
2024-06-07,415.5250,426.2800,408.9234,423.8500,419.9452,77304531,0.0000
2024-05-31,429.6300,430.9400,404.5100,415.1300,411.3055,107655251,0.0000
2024-05-24,420.2100,433.6000,419.9900,430.1600,426.1971,84866064,0.0000
2024-05-17,418.0100,425.4200,410.8200,420.2100,416.3387,85671354,0.7500
2024-05-10,408.7600,415.3800,406.3701,414.7400,410.1920,76899183,0.0000
2024-05-03,405.2500,407.1500,389.1700,406.6600,402.2006,107082034,0.0000
2024-04-26,400.0800,413.0000,388.0300,406.3200,401.8643,121367810,0.0000
2024-04-19,426.6000,426.8200,397.7700,399.1200,394.7433,104490345,0.0000
2024-04-12,425.1700,429.3700,419.7000,421.9000,417.2735,80153656,0.0000
2024-04-05,423.9500,428.6700,417.5700,425.5200,420.8538,85744235,0.0000
2024-03-28,425.2400,427.4100,419.0100,420.7200,416.1064,73362236,0.0000
2024-03-22,414.2500,430.8200,413.7800,428.7400,424.0385,96748672,0.0000
2024-03-15,403.7600,427.8200,401.2600,416.4200,411.8536,133587381,0.0000
2024-03-08,413.4400,417.3500,398.3900,406.2200,401.7654,103579947,0.0000
2024-03-01,411.4550,415.8700,403.8500,415.5000,410.9437,93983165,0.0000
2024-02-23,403.2400,415.8600,397.2200,410.3400,405.8402,86244735,0.0000
2024-02-16,420.5550,420.7400,403.3900,404.0600,399.6291,113551067,0.7500
2024-02-09,409.9000,420.8200,402.9100,420.5500,415.1779,109333537,0.0000
2024-02-02,406.0600,415.3200,397.2100,411.2200,405.9670,164773339,0.0000
2024-01-26,400.0200,407.0100,393.5900,403.9300,398.7702,109649099,0.0000
2024-01-19,393.6600,398.6700,384.8100,398.6700,393.5774,102159580,0.0000
2024-01-12,369.3000,390.6800,369.0100,388.4700,383.5077,118990164,0.0000
2024-01-05,373.8600,375.9000,366.5000,367.7500,363.0523,89318051,0.0000
2023-12-29,375.0000,377.1600,372.8116,376.0400,371.2364,60603657,0.0000
2023-12-22,369.4500,376.0300,368.6800,374.5800,369.7951,103468302,0.0000
2023-12-15,368.4800,377.6361,364.1300,370.7300,365.9943,205282326,0.0000
2023-12-08,369.1000,374.4600,362.9000,374.2300,369.4496,119519918,0.0000
2023-12-01,376.7800,384.3000,371.3100,374.5100,369.7260,135190626,0.0000
2023-11-24,371.2200,379.7899,371.0000,377.4300,372.6087,114489942,0.0000
2023-11-17,368.2200,376.3500,365.9000,369.8500,365.1255,142038149,0.7500
2023-11-10,353.4500,370.1000,353.3500,369.6700,364.2089,129342555,0.0000
2023-11-03,333.4100,354.3900,331.8300,352.8000,347.5881,119237928,0.0000
2023-10-27,325.4700,346.2000,324.3900,329.8100,324.9377,178267212,0.0000
2023-10-20,331.0500,336.8800,325.4500,326.6700,321.8441,113729959,0.0000
2023-10-13,324.7500,333.8300,323.1800,327.7300,322.8885,100910313,0.0000
2023-10-06,316.2800,329.1900,311.2150,327.2600,322.4254,104962901,0.0000
2023-09-29,316.5900,319.4700,309.4500,315.7500,311.0854,107374481,0.0000
2023-09-22,327.8000,330.4000,315.0000,317.0100,312.3268,111793469,0.0000
2023-09-15,337.2400,340.8600,329.6500,330.2200,325.3417,108640058,0.0000
