timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-10-15,343.7200,350.0750,340.2200,345.6900,345.6900,13540228,0.0000
2025-10-10,350.0100,355.0000,343.2500,343.6500,343.6500,24438724,0.0000
2025-10-03,337.3800,353.1599,335.5500,349.8400,349.8400,34161864,0.0000
2025-09-26,339.0100,345.2550,334.5100,337.3700,337.3700,35990144,0.0000
2025-09-19,340.6100,346.2000,333.4700,341.6100,341.6100,36859751,0.0000
2025-09-12,342.3400,346.3200,336.4400,339.4300,339.4300,24591529,0.0000
2025-09-05,349.3100,352.6300,340.2000,343.2200,343.2200,18744747,0.0000
2025-08-29,349.6100,353.4250,347.4450,351.7800,351.7800,28086836,0.0000
2025-08-22,343.8400,351.2000,339.7200,350.0400,350.0400,25338219,0.0000
2025-08-15,336.7300,348.3600,334.5100,344.4700,344.4700,28264377,0.5900
2025-08-08,341.6950,344.3800,328.7000,336.7800,336.1910,35445890,0.0000
2025-08-01,356.3800,358.3200,338.1000,339.3500,338.7565,40753366,0.0000
2025-07-25,349.0600,357.6500,348.4000,357.0400,356.4155,24019514,0.0000
2025-07-18,347.3900,351.9700,345.0100,349.0500,348.4395,25710300,0.0000
2025-07-11,358.9200,359.6600,344.3925,347.9300,347.3215,33103685,0.0000
2025-07-03,349.3500,359.0000,349.0600,358.8600,358.2323,22567760,0.0000
2025-06-27,337.5000,354.5600,335.6300,348.6100,348.0003,39992960,0.0000
2025-06-20,356.4900,360.2200,334.9200,338.5700,337.9778,47135008,0.0000
2025-06-13,369.7900,375.5100,345.0000,352.8500,352.2329,33728108,0.0000
2025-06-06,362.7700,371.0000,359.9600,370.2200,369.5725,25162858,0.0000
2025-05-30,355.4100,367.0400,354.4800,365.1900,364.5513,22933172,0.0000
2025-05-23,363.0200,369.1499,352.2200,353.5400,352.9216,26771451,0.0000
2025-05-16,359.1400,366.1900,351.1300,365.1200,364.4814,31263882,0.5900
2025-05-09,347.0000,355.3300,345.7579,352.5400,351.3413,20001061,0.0000
2025-05-02,336.7750,350.0900,333.2400,347.6000,346.4181,32432771,0.0000
2025-04-25,329.0000,341.2500,316.6542,335.1700,334.0304,33212122,0.0000
2025-04-17,336.4100,339.6099,328.4400,329.6100,328.4893,20904755,0.0000
2025-04-11,302.0700,336.9800,299.0000,333.4000,332.2664,48608811,0.0000
2025-04-04,339.3500,351.8600,312.1200,313.1300,312.0653,45101220,0.0000
2025-03-28,338.6500,351.6150,337.6509,342.8500,341.6843,28736269,0.0000
2025-03-21,330.0300,342.2400,329.7600,335.6600,334.5187,42255835,0.0000
2025-03-14,339.9400,345.0100,326.3808,331.8000,330.6719,39987850,0.0000
2025-03-07,363.0000,366.5400,339.1400,345.3200,344.1459,41269673,0.0000
2025-02-28,348.7550,364.0000,346.0000,362.7100,361.4768,40363937,0.0000
2025-02-21,353.6900,357.1500,347.4800,348.5300,347.3450,22595453,0.0000
2025-02-14,348.7000,356.0800,346.2500,353.8100,352.6070,27981717,0.5900
2025-02-07,340.0000,350.7485,339.2400,348.0200,346.2542,27032364,0.0000
2025-01-31,330.0000,351.2499,328.0500,341.8000,340.0658,34432783,0.0000
2025-01-24,320.3100,331.0850,320.0000,330.2000,328.5246,20304659,0.0000
2025-01-17,305.0000,320.5900,303.8400,319.6200,317.9983,30311386,0.0000
2025-01-10,315.0100,315.3900,305.9900,307.7100,306.1488,23347833,0.0000
2025-01-03,314.6800,319.6800,312.0100,314.9100,313.3122,17087491,0.0000
2024-12-27,315.6500,321.5400,313.3500,318.6600,317.0432,17013972,0.0000
2024-12-20,314.7400,321.6150,309.5600,317.7100,316.0980,58590171,0.0000
2024-12-13,311.8300,316.9500,306.6400,314.7400,313.1431,22548031,0.0000
2024-12-06,316.9000,317.4200,308.8000,311.0100,309.4320,26092204,0.0000
2024-11-29,311.8600,316.3700,309.4900,315.0800,313.4814,30318493,0.0000
2024-11-22,309.4800,312.4100,306.2200,309.9200,308.3475,27499010,0.0000
2024-11-15,310.0900,312.4400,306.6600,309.6400,308.0690,22859320,0.5900
2024-11-08,291.5500,311.1500,290.7600,307.8700,305.7258,30833882,0.0000
2024-11-01,282.0400,296.3400,281.3500,290.7400,288.7151,34869099,0.0000
2024-10-25,289.6000,290.4400,280.7801,281.7300,279.7678,26443565,0.0000
2024-10-18,279.0800,291.0400,277.9900,290.6200,288.5959,33413092,0.0000
2024-10-11,277.6000,278.8000,273.2400,277.8400,275.9049,21636396,0.0000
2024-10-04,275.0000,279.0600,273.2000,277.9300,275.9943,23792048,0.0000
2024-09-27,284.9000,288.8800,268.2300,275.1700,273.2535,47929147,0.0000
2024-09-20,288.0500,293.0700,282.8700,284.7700,282.7867,53677768,0.0000
2024-09-13,282.0900,288.7400,278.3000,287.3500,285.3487,31679056,0.0000
2024-09-06,276.3700,282.0900,276.3700,279.3700,277.4243,27002679,0.0000
2024-08-30,267.7200,276.9900,267.6700,276.3700,274.4452,28522520,0.0000
2024-08-23,267.4200,269.5000,265.2300,267.4400,265.5774,28122160,0.0000
2024-08-16,260.5000,268.4400,258.7400,267.3800,265.5178,59836396,0.0000
2024-08-09,261.4500,262.9200,254.5100,259.7600,257.9509,59578510,0.5200
2024-08-02,260.3200,267.9600,258.5800,266.5800,264.1945,33939959,0.0000
2024-07-26,267.2300,268.4000,252.7000,259.4600,257.1382,42124207,0.0000
2024-07-19,265.6700,273.6200,264.3100,265.4600,263.0845,32430531,0.0000
2024-07-12,270.2500,271.4400,258.5100,265.7400,263.3620,40062375,0.0000
2024-07-05,263.7900,270.5450,261.3000,270.3600,267.9407,29657772,0.0000
2024-06-28,275.3200,280.3900,261.2500,262.4700,260.1213,80705618,0.0000
2024-06-21,269.0000,278.0400,269.0000,275.2200,272.7572,40920184,0.0000
2024-06-14,278.1400,278.5600,269.2700,270.6600,268.2380,34893642,0.0000
2024-06-07,273.0900,280.3350,268.0600,278.6700,276.1763,23774144,0.0000
2024-05-31,274.2300,274.4620,268.2600,272.4600,270.0219,25495224,0.0000
2024-05-24,279.2200,280.2700,273.0343,274.4900,272.0337,26697433,0.0000
2024-05-17,281.4600,282.3800,274.2650,280.1000,277.5935,66862405,0.5200
2024-05-10,269.6500,281.0300,269.5700,280.7400,277.7117,37300894,0.0000
2024-05-03,272.3200,274.4700,266.5000,268.4900,265.5939,25617676,0.0000
2024-04-26,270.9500,283.0000,269.3600,274.5200,271.5588,36614137,0.0000
2024-04-19,277.8900,277.9100,268.2900,269.7800,266.8700,40582734,0.0000
2024-04-12,276.2500,278.0000,272.1800,275.9600,272.9833,35229904,0.0000
2024-04-05,280.3600,280.8900,273.5600,277.1400,274.1506,24680822,0.0000
2024-03-28,283.0100,284.1300,276.9800,279.0800,276.0696,28306829,0.0000
2024-03-22,283.8700,290.9600,282.8900,283.2600,280.2045,30597450,0.0000
2024-03-15,279.4500,289.0405,277.9900,283.0400,279.9869,33468372,0.0000
2024-03-08,282.8100,283.0000,276.1600,280.0400,277.0193,26281044,0.0000
2024-03-01,283.0400,286.1300,281.5400,283.1600,280.1056,22950526,0.0000
2024-02-23,274.5700,285.9500,273.3400,283.6000,280.5409,21136167,0.0000
2024-02-16,276.4300,281.1200,272.7630,278.5600,275.5552,24853917,0.0000
2024-02-09,277.4000,279.6600,274.0300,276.4300,273.4482,24536984,0.5200
2024-02-02,266.9700,279.9900,266.7100,277.1800,273.6741,31176658,0.0000
2024-01-26,272.2400,272.8600,265.6000,267.9400,264.5510,32293719,0.0000
2024-01-19,263.5200,271.1500,262.3500,270.9000,267.4735,25235920,0.0000
2024-01-12,260.9400,266.1900,259.9500,264.1700,260.8287,26325832,0.0000
2024-01-05,259.6100,261.4599,256.8600,259.6900,256.4053,17185619,0.0000
2023-12-29,258.5300,261.4600,258.3100,260.3500,257.0570,13157226,0.0000
2023-12-22,258.7000,261.2050,257.0400,258.4300,255.1613,33360664,0.0000
2023-12-15,255.0000,263.2500,254.4460,258.0300,254.7663,38828398,0.0000
2023-12-08,255.9100,257.3850,252.1400,255.7400,252.5053,20572946,0.0000
2023-12-01,254.3000,256.9100,251.6100,256.4500,253.2063,26483436,0.0000
2023-11-24,249.6100,254.7000,245.6000,254.3000,251.0835,23162160,0.0000
2023-11-17,245.0000,250.2400,244.1100,249.5600,246.4035,45729510,0.0000
2023-11-10,244.0000,245.2700,240.9700,245.2500,242.1480,23553360,0.5200
2023-11-03,232.1900,245.3200,230.0300,243.6000,240.0072,26311889,0.0000
2023-10-27,231.3600,238.4800,228.0300,229.2700,225.8885,34236529,0.0000
2023-10-20,239.0000,241.4800,232.6400,233.3800,229.9379,31959451,0.0000
2023-10-13,232.8000,238.6500,231.7000,237.6700,234.1646,24217290,0.0000
2023-10-06,229.2400,236.5900,227.7800,235.0400,231.5734,28719727,0.0000
2023-09-29,235.3800,235.4700,227.9200,230.0100,226.6176,28370735,0.0000
2023-09-22,240.9400,245.2300,234.8800,235.0800,231.6128,28055201,0.0000
2023-09-15,247.3300,250.0600,238.7500,241.0700,237.5145,37230334,0.0000
2023-09-08,248.3500,248.6900,244.2100,247.2900,243.6427,16297836,0.0000
2023-09-01,243.0100,248.8700,242.6000,248.1100,244.4506,21936002,0.0000
2023-08-25,239.3800,243.5600,237.7550,242.5700,238.9923,20482448,0.0000
2023-08-18,240.7200,243.3300,235.3000,238.1700,234.6572,19862328,0.0000
2023-08-11,239.2200,243.9500,237.3900,240.0400,236.4997,23170513,0.4500
2023-08-04,236.0000,241.9100,235.2450,238.9900,235.0248,24501148,0.0000
2023-07-28,239.6800,241.2750,227.6800,235.7500,231.8385,33514249,0.0000
2023-07-21,243.1100,245.3700,237.6800,239.2500,235.2805,26961130,0.0000
2023-07-14,237.0100,244.7400,236.5000,243.1600,239.1256,25592736,0.0000
2023-07-07,237.0000,240.0000,233.9908,236.4500,232.5269,22860354,0.0000
2023-06-30,229.4400,238.2800,226.0200,237.4800,233.5398,29116711,0.0000
2023-06-23,227.0000,229.9800,224.9800,229.5500,225.7414,31044930,0.0000
2023-06-16,224.4100,229.7995,221.3700,228.9100,225.1120,50813857,0.0000
2023-06-09,227.9100,229.2500,221.0200,223.5600,219.8508,32031665,0.0000
2023-06-02,225.0100,230.2700,216.1400,228.7900,224.9940,39702699,0.0000
2023-05-26,233.3100,233.8700,220.0300,225.0100,221.2767,31150982,0.0000
2023-05-19,231.1900,234.3400,229.6300,233.3100,229.4390,24144642,0.0000
2023-05-12,231.2500,234.8100,228.2700,231.3800,227.5410,19786598,0.4500
2023-05-05,232.8700,234.5900,223.4800,231.7800,227.4913,25794751,0.0000
2023-04-28,234.2300,235.1500,226.6100,232.7300,228.4237,42352855,0.0000
2023-04-21,234.0200,235.5680,230.9400,234.0500,229.7192,24375871,0.0000
2023-04-14,225.5600,234.9900,224.3200,234.0200,229.6898,31235537,0.0000
2023-04-06,225.2300,230.0500,224.1200,225.9900,221.8084,20775193,0.0000
2023-03-31,222.5900,225.8400,218.6500,225.4600,221.2882,33005510,0.0000
2023-03-24,217.0000,225.2500,216.8400,221.0400,216.9500,36709515,0.0000
2023-03-17,214.6300,219.8700,208.7600,217.3900,213.3675,55646999,0.0000
2023-03-10,223.9300,227.4150,215.4800,216.1400,212.1406,26025321,0.0000
2023-03-03,220.7300,224.0150,216.4300,223.7700,219.6295,26028348,0.0000
2023-02-24,220.1600,222.4400,217.4600,219.5500,215.4875,21846296,0.0000
2023-02-17,226.8800,231.4200,221.7400,223.5600,219.4233,22569801,0.0000
2023-02-10,228.7000,232.4750,226.1600,227.2000,222.9960,22172057,0.4500
2023-02-03,230.2000,234.3000,227.6400,230.1300,225.4295,35197898,0.0000
2023-01-27,224.6000,232.8400,216.6300,231.4400,226.7127,33932079,0.0000
2023-01-20,222.3800,224.9900,217.5000,224.3100,219.7284,22723179,0.0000
2023-01-13,219.0700,223.8100,218.1800,223.0600,218.5039,31107334,0.0000
2023-01-06,209.2800,218.1400,206.1600,217.7500,213.3023,22885137,0.0000
2022-12-30,205.9200,208.5300,204.6000,207.7600,203.5164,13879159,0.0000
