Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs,Weight
KMB,-0.0015794249862206757,0.6710209389687742,-0.2964395365542067,-0.2276391446208986,0.6779617881508418,0.8041249777675069,0.31255351964713896,0.3044276747257103,0.0020655936525299286,429,0.01702220845180606
PG,0.0007469969501049197,0.631352406325938,-0.13825670160667233,-0.35013514863827117,0.5752689585672148,0.8028832048135631,0.23558796837383023,0.22655236516311894,0.002299949643398755,429,0.015339396002564887
GPC,-0.002533442240852897,0.8315982238823141,0.24643494259209392,0.22778068267617288,0.5838788243482986,0.4056082307306463,0.3952646454284683,0.38811647338861566,0.0021183364385721744,429,0.015215910203056297
MKC,0.00013716241312922083,0.6646946520052659,0.23409576673349905,-0.41088689986878785,0.8669483319724551,0.6657591516098363,0.2339746902826607,0.22492001759096636,0.0028044316822268454,429,0.014494642069664443
WEC,0.002708629931885277,0.38967930991153643,-0.145869775648602,-0.04724675879796071,0.4218780927319764,0.5645219075289307,0.16263986107131656,0.152741987088708,0.0019532230396244995,429,0.013863558473148598
MMM,-0.0017677062709658413,0.8933600833302633,0.2004835999075287,0.07595341605010471,0.4557194637448693,0.4393561024401655,0.37273085036999687,0.3653163214145595,0.002375370523109231,429,0.011915355022912017
D,0.000848239326805978,0.49166300109299343,-0.16048076847406903,0.059463401184175646,0.25746063254077106,0.5635464917364306,0.18530662523690555,0.1756766799087366,0.002114237842336997,429,0.011819549849187384
PPG,-0.004404736852395822,1.1835893652220109,0.2400545619228392,0.15625376983430342,0.61671272073114,0.34150997717179654,0.514445444698573,0.5087060291512748,0.0023590570235204568,429,0.011398814111263852
DTE,0.0016783101487574416,0.5286998517898773,-0.21772494133826664,0.19345838527759016,0.2536228264539667,0.4952948236467944,0.23707857698237866,0.22806059325876615,0.0019688185201566753,429,0.01129703841651425
LNT,0.0019574196283205555,0.5168761176222734,-0.08564690029653241,0.001611805922030927,0.20659116038140277,0.5919309411533267,0.16545485742756838,0.15559025763356804,0.0023914993865513296,429,0.010921840438057853
ATO,0.003079653607269359,0.4564864858380674,0.24990929307118512,-0.06576442197313083,0.5052169792534539,0.41566796441123444,0.13812673374267914,0.12793910648195428,0.0027320639142826343,429,0.010762175724436177
ETN,0.0011958027508247955,1.1694353626866985,0.41445102048040383,-0.0368078069796543,0.5420982794810519,0.4677832992178936,0.4506548358663056,0.444161394209879,0.003064467327511464,429,0.010631584628378377
CINF,0.0018598874476424094,0.7531768855447678,-0.131824392241296,0.4686497689725699,0.19400874083466016,0.6507879161608151,0.3044251433167636,0.29620321829686724,0.003136439923121211,429,0.010503407046513376
SO,0.0045576150457403335,0.3190984983593532,-0.16894992510239676,0.054155965161558725,0.36652684022341603,0.4687321118596943,0.1295488184389768,0.11925979738033587,0.002237798998455884,429,0.010315442700005348
AWK,0.005057196274014386,0.47586248157319355,-0.04347658354562597,-0.39042737658831245,0.34405550607494856,0.6314275889160678,0.16485315552699398,0.14438387012324383,0.0025358532288845648,210,0.010199849530262787
