Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs,Weight
KMB,-0.0017965775521237815,0.6729014751706092,-0.3005579480507843,-0.23830172516882134,0.6758082508037713,0.8138425454851727,0.31126680107794424,0.303144947317071,0.0020801623824473186,430,0.014418712951501942
PG,0.000724439857171539,0.6315597539891247,-0.13867970688936426,-0.3512684995629871,0.5750712948584021,0.803976276991476,0.23575778734474861,0.22674549710117253,0.0022946696702135384,430,0.012920669777021141
MKC,0.00025978002707024994,0.6636359860744776,0.23641109061966278,-0.4048763505887949,0.8681758344342347,0.660297215477476,0.23335128610353528,0.2243106173075864,0.002804114530051329,430,0.01252944561898193
GPC,-0.00253040418586869,0.8315871038996472,0.24651456196198193,0.2278929377902406,0.5839655258553976,0.4055850540784135,0.3953521127968683,0.3882218311081521,0.0021133285458809136,430,0.012109400805969065
WEC,0.002689198546032907,0.3898486897347516,-0.14624881138996734,-0.04821408429490952,0.4216742076841233,0.5654039277677493,0.1626227791062943,0.1527480477278308,0.001948775034825081,430,0.010975000918820685
MMM,-0.0017256576674727396,0.8930144356631269,0.20128309588713278,0.07806102651650361,0.45616100691732403,0.437480244486143,0.3727474695029026,0.3653506236243992,0.002370473822297994,430,0.009454355081323966
PPG,-0.004391637227729037,1.183482967092258,0.24032891526754,0.1568613030654153,0.6169026566234441,0.3409953868961139,0.5144633422835523,0.5087376741501036,0.002353594253766821,430,0.009189703016514669
D,0.000987628749014253,0.49047445400829026,-0.15783300094896624,0.06627515566515364,0.25887926373787,0.5574197426921876,0.18485381075889784,0.17524123777256417,0.0021173773600788636,430,0.009090711461979576
ETN,0.0009307261811053701,1.1716914516501475,0.4093968159989461,-0.04974926272134895,0.5393921680400648,0.4793787734474691,0.44817755668302717,0.4416702165495723,0.0030865709982726137,430,0.008681631219530533
DTE,0.0016684168039794644,0.5287914546287902,-0.21791613185627157,0.19295700315169015,0.2535248993374461,0.4957829555578489,0.2370628846778997,0.22806598473306372,0.0019642165217507858,430,0.008661709652388628
DG,0.004447876481002802,0.4012851120209423,0.4168365035364371,-0.750648010446178,0.6107678917983717,0.9722549195273144,0.12362238868452924,0.10006385074594126,0.0050989958618023554,192,0.008531279965340444
ATO,0.003103594984620282,0.45629636416519137,0.2503770031352929,-0.06463097124169238,0.5055016642304276,0.41467704031216857,0.13820188877660122,0.12803917520085362,0.002725844472115677,430,0.008488497577496371
LNT,0.002045812341424536,0.5161272023250123,-0.08397204276918727,0.005929815591950807,0.2074832671474852,0.5880699936937144,0.16525475224888908,0.15541105828956003,0.002389121523355356,430,0.00843500953271878
AWK,0.005114866365902049,0.47516034050540745,-0.04238907643125159,-0.3881536368716274,0.34608436547728455,0.6294806619583242,0.16466381487108683,0.14428976157525963,0.002524062386119651,211,0.008302174242988156
EMR,-0.003630203803433111,1.2494101724361126,0.08410193814347575,0.12105183558759287,0.5494744187999075,0.3263879142358525,0.5626344713092485,0.5574768589426122,0.002061324325277756,430,0.008153786115114258
SYY,-0.0009581252442967688,0.8989050049921241,0.12370577167484799,0.11919429311405358,0.5929434121916821,0.38336287492189214,0.34633792378630845,0.33862964458567535,0.002686099286402716,430,0.008007343751772792
SO,0.004447972225338202,0.32004146840595016,-0.17103545541001774,0.04875641917320521,0.3654275349783154,0.4735924055754465,0.12907023393524275,0.11879983575051689,0.0022375299696633685,430,0.007970027383998102
CINF,0.0019954726177988606,0.7520294427738353,-0.129255481616153,0.4753300327697351,0.19537948734539842,0.6448184124153664,0.3045756627199906,0.2963749040256508,0.0031366896598386887,430,0.007904093177460414
GIS,0.000722599562623771,0.4017345965152047,0.024158187273232337,-0.17411143039113416,0.5538382857166849,0.3991567367319148,0.12210778066024597,0.11175527807369234,0.0023688320722402584,430,0.0078342046348144
AEE,0.0018414645025679123,0.5000865283934042,-0.24643241675642572,0.039143423764869394,0.265297384309173,0.5510673659101427,0.20059266651409202,0.1884065791133922,0.0022328787504302845,334,0.007819597782906229
