Date,RF,Mkt-RF,SMB,HML,RMW,CMA,Mkt
1963-07-01,0.002700,-0.003900,   -0.48,   -0.81,    0.64,   -1.15,-0.001200
1963-08-01,0.002500,0.050800,   -0.80,    1.70,    0.40,   -0.38,0.053300
1963-09-01,0.002700,-0.015700,   -0.43,    0.00,   -0.78,    0.15,-0.013000
1963-10-01,0.002900,0.025400,   -1.34,   -0.04,    2.79,   -2.25,0.028300
1963-11-01,0.002700,-0.008600,   -0.85,    1.73,   -0.43,    2.27,-0.005900
1963-12-01,0.002900,0.018300,   -1.89,   -0.21,    0.12,   -0.25,0.021200
1964-01-01,0.003000,0.022700,    0.10,    1.63,    0.21,    1.48,0.025700
1964-02-01,0.002600,0.015500,    0.33,    2.81,    0.11,    0.81,0.018100
1964-03-01,0.003100,0.014100,    1.41,    3.29,   -2.03,    2.98,0.017200
1964-04-01,0.002900,0.001100,   -1.48,   -0.54,   -1.32,   -1.13,0.004000
1964-05-01,0.002600,0.014100,   -0.62,    1.81,   -0.15,    0.13,0.016700
1964-06-01,0.003000,0.012700,    0.13,    0.68,   -0.33,    0.10,0.015700
1964-07-01,0.003000,0.017400,    0.50,    0.79,    0.15,    1.85,0.020400
1964-08-01,0.002800,-0.014400,    0.29,    0.07,    0.15,    0.31,-0.011600
1964-09-01,0.002800,0.026900,   -0.34,    1.72,   -0.50,    0.56,0.029700
1964-10-01,0.002900,0.006000,    0.90,    1.08,   -0.20,    0.52,0.008900
1964-11-01,0.002900,-0.000100,   -0.24,   -2.04,    0.71,   -0.16,0.002800
1964-12-01,0.003100,0.000400,   -0.65,   -2.43,    0.95,   -1.55,0.003500
1965-01-01,0.002800,0.035400,    2.50,    0.36,    0.94,   -0.02,0.038200
1965-02-01,0.003000,0.004400,    3.24,    0.22,    0.26,   -0.62,0.007400
1965-03-01,0.003600,-0.013400,    2.08,    1.15,   -0.29,    0.65,-0.009800
1965-04-01,0.003100,0.031100,    1.14,    0.73,    0.29,   -2.27,0.034200
1965-05-01,0.003100,-0.007800,    0.05,   -1.55,   -0.42,    0.59,-0.004700
1965-06-01,0.003500,-0.055100,   -4.20,    0.23,    0.24,    0.43,-0.051600
1965-07-01,0.003100,0.014400,    1.10,    2.19,   -1.41,   -0.08,0.017500
1965-08-01,0.003300,0.027300,    2.77,   -0.98,    2.03,   -0.81,0.030600
1965-09-01,0.003100,0.028600,    0.70,   -0.14,   -0.85,    0.73,0.031700
1965-10-01,0.003100,0.026000,    3.45,    1.55,    1.19,   -0.76,0.029100
1965-11-01,0.003500,-0.000200,    5.22,    0.16,   -1.08,   -0.87,0.003300
1965-12-01,0.003300,0.010100,    2.62,    2.15,   -1.30,   -0.55,0.013400
1966-01-01,0.003800,0.007200,    4.85,    3.27,   -2.65,   -0.26,0.011000
1966-02-01,0.003500,-0.012100,    4.79,    0.38,   -0.16,   -1.45,-0.008600
1966-03-01,0.003800,-0.025100,    0.21,   -2.13,    1.29,   -0.05,-0.021300
1966-04-01,0.003400,0.021300,    3.33,   -0.36,    0.42,   -0.92,0.024700
1966-05-01,0.004100,-0.056700,   -5.11,   -1.60,    1.64,   -1.48,-0.052600
1966-06-01,0.003800,-0.014400,    1.32,    0.49,    0.08,    0.79,-0.010600
1966-07-01,0.003500,-0.016300,   -0.38,    0.91,   -0.38,    1.74,-0.012800
1966-08-01,0.004100,-0.079400,   -3.15,    0.50,   -0.64,    0.77,-0.075300
1966-09-01,0.004000,-0.010600,   -1.02,    0.48,   -1.19,    2.35,-0.006600
1966-10-01,0.004500,0.038600,   -6.48,    2.74,   -3.91,    4.23,0.043100
1966-11-01,0.004000,0.013800,    3.34,   -4.63,    4.66,   -6.51,0.017800
1966-12-01,0.004000,0.001300,    1.88,   -0.95,    0.17,   -0.16,0.005300
1967-01-01,0.004300,0.081500,    8.98,    2.36,    1.29,   -3.06,0.085800
1967-02-01,0.003600,0.007700,    3.01,   -2.26,    1.66,   -0.93,0.011300
1967-03-01,0.003900,0.040000,    1.77,    0.47,    0.82,   -1.50,0.043900
1967-04-01,0.003200,0.038900,    0.43,   -2.29,    3.09,   -3.72,0.042100
1967-05-01,0.003300,-0.043200,    2.45,    0.80,   -1.19,    1.62,-0.039900
1967-06-01,0.002700,0.024200,    6.42,    0.80,   -0.84,   -2.49,0.026900
1967-07-01,0.003200,0.045800,    3.58,    2.75,    0.45,    2.66,0.049000
1967-08-01,0.003100,-0.009000,    0.77,    1.43,    0.30,    1.35,-0.005900
1967-09-01,0.003200,0.031100,    2.43,   -2.47,    0.22,   -0.93,0.034300
1967-10-01,0.003900,-0.030800,    0.57,   -3.29,    0.97,   -2.74,-0.026900
1967-11-01,0.003600,0.003700,   -0.06,   -1.71,    1.31,   -2.28,0.007300
1967-12-01,0.003300,0.030500,    5.59,   -0.54,   -0.74,   -0.03,0.033800
