Model,Split,Factor,RMSE,MAE,R²
Random Forest,Val,Mkt-RF,0.04341580941472797,0.031146027440003783,0.0077794369029876576
Random Forest,Val,SMB,0.028645916977897038,0.02270563055431369,0.009275807001046465
Random Forest,Val,HML,0.037177575079690724,0.027694359690947783,-0.0030078882381734395
Random Forest,Val,RMW,0.01978976483533082,0.014846895023863113,0.017833933659637702
Random Forest,Val,CMA,0.020100708357769555,0.01587390026996487,0.02879229162172936
Random Forest,Test,Mkt-RF,0.047496568346949666,0.03960013744088245,0.011879405374359386
Random Forest,Test,SMB,0.03283593279381192,0.02448510937768941,-0.10126929390763029
Random Forest,Test,HML,0.03863417142469211,0.030522966495341884,-0.029712716918394166
Random Forest,Test,RMW,0.024052575741486726,0.019282502231235017,0.023052202840971425
Random Forest,Test,CMA,0.030347192700577796,0.02470789238463245,-0.0667341917677029
Gradient Boosting,Val,Mkt-RF,0.04512103655375492,0.03304814637622481,-0.0716933973394962
Gradient Boosting,Val,SMB,0.030495164981020124,0.024757531571342205,-0.12276608373287279
Gradient Boosting,Val,HML,0.0385020101267797,0.02809294157074912,-0.07574426061551676
Gradient Boosting,Val,RMW,0.022149288685667023,0.01716573658144736,-0.23033456596399016
Gradient Boosting,Val,CMA,0.020330674066401527,0.01598618475914389,0.006442624054338153
Gradient Boosting,Test,Mkt-RF,0.04827838872417155,0.041017329944056984,-0.020918373777796928
Gradient Boosting,Test,SMB,0.03542808830522465,0.02793582890889734,-0.28200657032080123
Gradient Boosting,Test,HML,0.04086758245766627,0.03156040793184334,-0.15220768199246293
Gradient Boosting,Test,RMW,0.023239115876973637,0.01931199930456603,0.08801566395792859
Gradient Boosting,Test,CMA,0.031088277255835,0.02592505316465181,-0.11947006212072497
Ridge Regression,Val,Mkt-RF,0.04893880297969901,0.034555100379796734,-0.2607213396924051
Ridge Regression,Val,SMB,0.030859050911987006,0.024357422453062733,-0.14972093783071494
Ridge Regression,Val,HML,0.03851184774322647,0.02945907507106425,-0.07629405588033067
Ridge Regression,Val,RMW,0.02640101971174096,0.0212157886367267,-0.7480146217177142
Ridge Regression,Val,CMA,0.021813400793803513,0.01653335973201527,-0.14376329147321987
Ridge Regression,Test,Mkt-RF,0.05076901236866811,0.044000553005860775,-0.1289713358682263
Ridge Regression,Test,SMB,0.03490488631501934,0.026217228932707087,-0.2444208232504732
Ridge Regression,Test,HML,0.03929015807318579,0.03202426226540083,-0.0649774779712029
Ridge Regression,Test,RMW,0.02713271745288478,0.021984523445234935,-0.24318213570753588
Ridge Regression,Test,CMA,0.031004081452960734,0.025704880953590817,-0.11341459331488823
Lasso Regression,Val,Mkt-RF,0.046419427567995546,0.03184374710095733,-0.13425833702662016
Lasso Regression,Val,SMB,0.029270634230533398,0.023141301677518725,-0.034407298273510856
Lasso Regression,Val,HML,0.036985202285959404,0.028478129827558613,0.0073452465352205065
Lasso Regression,Val,RMW,0.021638036224777817,0.01682332291615222,-0.174192617192523
Lasso Regression,Val,CMA,0.01988865043290265,0.015706795254676935,0.049176241537496
Lasso Regression,Test,Mkt-RF,0.04812115433592625,0.041229922519438175,-0.01427929233609615
Lasso Regression,Test,SMB,0.03390971403418878,0.025350476266971757,-0.17447308490553026
Lasso Regression,Test,HML,0.0381896182269049,0.0309705519993996,-0.006151791929200456
Lasso Regression,Test,RMW,0.025198568504352526,0.019241073062588262,-0.07225953232165483
Lasso Regression,Test,CMA,0.03053900785009656,0.02523179072989585,-0.08026179788316012
